,epochs,baseline,std_baseline,hybrid_self_transfer,std_hybrid_self_transfer,self_transfer_full_fine_tuning,std_self_transfer_full_fine_tuning
0,0,0.2633333333333333,0.02111111111111111,0.27111111111111114,0.0,0.3655555555555556,0.11888888888888889
1,1,0.2777777777777778,0.024444444444444435,0.36666666666666664,0.0,0.4222222222222222,0.09111111111111109
2,2,0.28888888888888886,0.01999999999999999,0.4777777777777778,0.0,0.51,0.05000000000000002
3,3,0.3244444444444444,0.011111111111111101,0.6111111111111112,0.0,0.6022222222222222,0.00888888888888889
4,4,0.31666666666666665,0.010000000000000009,0.6688888888888889,0.0,0.6555555555555556,0.01777777777777778
5,5,0.33555555555555555,0.011111111111111127,0.68,0.0,0.7033333333333334,0.04999999999999999
6,6,0.3477777777777778,0.025555555555555554,0.6866666666666666,0.0,0.7233333333333334,0.08333333333333331
7,7,0.3522222222222222,0.016666666666666663,0.6866666666666666,0.0,0.7566666666666667,0.09444444444444444
8,8,0.3811111111111111,0.016666666666666663,0.6933333333333334,0.0,0.7822222222222222,0.0977777777777778
9,9,0.38888888888888884,0.013333333333333336,0.7244444444444444,0.0,0.8155555555555556,0.0977777777777778
10,10,0.40444444444444444,0.0,0.7377777777777778,0.0,0.8422222222222222,0.08666666666666667
11,11,0.41444444444444445,0.0011111111111111183,0.7755555555555556,0.0,0.8644444444444445,0.0822222222222222
12,12,0.43333333333333335,0.006666666666666654,0.7755555555555556,0.0,0.8822222222222222,0.07333333333333336
13,13,0.45777777777777773,0.013333333333333336,0.7844444444444445,0.0,0.8888888888888888,0.06
14,14,0.48444444444444446,0.00888888888888889,0.7777777777777778,0.0,0.8977777777777778,0.053333333333333344
15,15,0.5044444444444445,0.0044444444444444176,0.7822222222222223,0.0,0.9066666666666667,0.04222222222222222
16,16,0.5511111111111111,0.015555555555555545,0.7933333333333333,0.0,0.9088888888888889,0.03999999999999998
17,17,0.5977777777777777,0.0044444444444444176,0.8133333333333334,0.0,0.9211111111111111,0.0411111111111111
18,18,0.6411111111111112,0.014444444444444426,0.8155555555555556,0.0,0.9277777777777778,0.03888888888888892
19,19,0.6877777777777778,0.005555555555555591,0.8022222222222222,0.0,0.9288888888888889,0.03111111111111109
20,20,0.7088888888888889,0.024444444444444435,0.78,0.0,0.9366666666666666,0.02777777777777779
21,21,0.7166666666666667,0.02777777777777779,0.7555555555555555,0.0,0.9466666666666667,0.022222222222222254
22,22,0.7266666666666666,0.024444444444444435,0.7555555555555555,0.0,0.9533333333333334,0.015555555555555545
23,23,0.7266666666666666,0.006666666666666654,0.7733333333333333,0.0,0.9622222222222223,0.011111111111111127
24,24,0.7344444444444445,0.025555555555555554,0.7977777777777778,0.0,0.961111111111111,0.014444444444444426
25,25,0.76,0.013333333333333308,0.8288888888888889,0.0,0.9555555555555555,0.011111111111111127
26,26,0.7944444444444445,0.021111111111111136,0.8177777777777778,0.0,0.9566666666666667,0.014444444444444482
27,27,0.81,0.016666666666666663,0.8133333333333334,0.0,0.9466666666666667,0.011111111111111072
28,28,0.8266666666666667,0.013333333333333308,0.8222222222222222,0.0,0.9455555555555556,0.007777777777777772
29,29,0.8466666666666667,0.040000000000000036,0.8288888888888889,0.0,0.95,0.003333333333333355
30,30,0.8544444444444445,0.036666666666666625,0.8644444444444445,0.0,0.95,0.003333333333333355
31,31,0.8644444444444445,0.0377777777777778,0.9088888888888889,0.0,0.9511111111111111,0.013333333333333308
32,32,0.8844444444444444,0.04444444444444445,0.9288888888888889,0.0,0.9522222222222223,0.014444444444444426
33,33,0.8911111111111112,0.02888888888888891,0.9466666666666667,0.0,0.9555555555555555,0.013333333333333364
34,34,0.9033333333333333,0.016666666666666663,0.96,0.0,0.9488888888888889,0.020000000000000018
35,35,0.9222222222222223,0.013333333333333364,0.96,0.0,0.95,0.0188888888888889
36,36,0.9211111111111112,0.016666666666666663,0.9666666666666667,0.0,0.9488888888888889,0.01777777777777778
37,37,0.9255555555555555,0.016666666666666663,0.9755555555555555,0.0,0.9455555555555555,0.021111111111111136
38,38,0.9322222222222223,0.0188888888888889,0.9711111111111111,0.0,0.94,0.017777777777777726
39,39,0.9299999999999999,0.021111111111111136,0.96,0.0,0.9477777777777778,0.014444444444444426
40,40,0.9322222222222223,0.016666666666666663,0.9577777777777777,0.0,0.9488888888888889,0.02444444444444449
