episodes	DQV	DDQN	DQN	Upside-Down
243	185.9677419355	185.7903225806	178.8	200
244	186.2258064516	185.6129032258	179.5548387097	200
245	185.7419354839	185.2096774194	180.0967741935	200
246	185.4838709677	184.7161290323	180.0290322581	200
247	185.3870967742	184.2838709677	179.6903225806	200
248	185.5806451613	183.7096774194	179.5838709677	200
249	185.8709677419	183.2903225806	179.2225806452	200
250	185.8709677419	182.6290322581	178.5096774194	200
251	186.8387096774	182.4903225806	178.0032258065	200
252	186.9677419355	182.0161290323	178.064516129	200
253	187.0967741935	181.6419354839	178.4612903226	200
254	187.2903225806	181.5322580645	178.2870967742	200
255	187.2580645161	181.9580645161	177.7129032258	200
256	186.9032258065	182.4387096774	178.435483871	200
257	186.6774193548	183.2258064516	178.8548387097	200
258	186.8064516129	183.1677419355	179.1612903226	200
259	186.2258064516	183.2903225806	179.7709677419	200
260	186.064516129	183.7967741935	180.564516129	200
261	185.9677419355	183.8967741935	181.1387096774	200
262	186.5161290323	183.8483870968	181.2129032258	200
263	186.7741935484	183.464516129	181.3129032258	200
264	186.4838709677	183.6193548387	180.9935483871	200
265	186.3548387097	183.7096774194	180.9161290323	200
266	186.2580645161	183.7580645161	181.0516129032	200
267	186.4838709677	182.9677419355	181.2516129032	200
268	186.5483870968	182.9258064516	181.5580645161	200
269	186.1612903226	182.6129032258	181.8419354839	200
270	186.5806451613	182.8064516129	182.0096774194	200
271	186.1612903226	183.3516129032	182.3967741935	200
272	185.9032258065	184.7096774194	182.9129032258	200
273	186	185.1741935484	182.8129032258	200
274	186.1935483871	185.6709677419	182.7129032258	200
275	186.1612903226	185.6677419355	182.764516129	200
276	186.3548387097	185.9193548387	182.9677419355	200
277	185.8709677419	186.3290322581	182.664516129	200
278	185.2903225806	186.4193548387	182.5161290323	200
279	185.2580645161	186.9709677419	182.4064516129	200
280	184.6774193548	186.9225806452	182.7032258065	200
281	184.1935483871	187.064516129	183.664516129	200
282	183.5806451613	186.7419354839	183.6838709677	200
283	183.4193548387	186.7870967742	183.3806451613	200
284	183.6774193548	187.1129032258	183.0774193548	200
285	183.7741935484	187.1487903226	183.0041935484	200
286	183.9032258065	187.1846774194	182.9309677419	200
287	183.6451612903	187.2205645161	182.8577419355	200
288	183.3548387097	187.2564516129	182.784516129	200
289	183.6451612903	187.2923387097	182.7112903226	200
290	184.1612903226	187.3282258065	182.6380645161	200
291	184.2580645161	187.3641129032	182.5648387097	200
292	184.3548387097	187.4	182.4916129032	200
293	183.7741935484	187.4358870968	182.4183870968	200
294	184.1612903226	187.4717741935	182.3451612903	200
295	183.8064516129	187.5076612903	182.2719354839	200
296	183	187.5435483871	182.1987096774	200
297	183	187.5794354839	182.125483871	200
298	183	187.6153225806	182.0522580645	200
299	182.4516129032	187.6512096774	181.9790322581	200

