episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
0	0.991465138111182	11.080044898583136	-0.08783156666652148	0.051157488611727975
1	1.032536562443938	11.156299389866483	-0.09865670008964755	0.06341245629334535
2	1.096494645359814	11.272267368479255	-0.11522657207493599	0.08445796983909247
3	1.156986066773368	11.386737509251773	-0.1293736966867529	0.10827529820505365
4	1.1934952518223654	11.491373266278284	-0.13370600084249687	0.12761119979846705
5	1.205220572517114	11.61379844205678	-0.12381242511736944	0.1373837656209974
6	1.220321769367362	11.78249154638952	-0.09936386028962736	0.13841874404626464
7	1.300307866554077	11.984538491504	-0.06183888157500474	0.13962676178655262
8	1.5389759299380135	12.140691905294624	-0.010783093179058331	0.15909685641713586
9	2.0515361276099253	12.120133137091898	0.05868343526592849	0.22152689088604477
10	2.9520274127601516	11.7833371359961	0.1550443324645015	0.3524649878916035
11	4.317863680073368	11.034571856048023	0.28549250018540995	0.5683466251274465
12	6.145366646407122	9.874022715239882	0.44877804807572375	0.8641916858511507
13	8.319425936100078	8.412419343040932	0.6302679563382065	1.204989489015458
14	10.613990893583187	6.848271311792011	0.8028698747834604	1.5281696228705703
15	12.743967721324315	5.404248757522846	0.9350506725109453	1.761033380838004
16	14.455428935206008	4.253741780968944	1.0024289888516662	1.8475016213761895
17	15.618364442931615	3.4769243320093213	0.9970430545057067	1.770306121704507
18	16.275623066047274	3.0532105731672115	0.9287903055293285	1.5574653088985917
19	16.622899706266292	2.896455891069439	0.8203196542348887	1.2686831250177213
20	16.9301448075245	2.897659584766598	0.6972705265776238	0.9722093529240862
21	17.444443549917672	2.95399424542139	0.5807662790687127	0.7238597466670065
22	18.314881535973928	2.9815577668241926	0.4844509220835038	0.5574002133114235
23	19.56800531523105	2.915692088037166	0.4168508554959871	0.4867021674365179
24	21.12563787096502	2.722863312207173	0.38304003402801157	0.5128058294112858
25	22.852531322101186	2.4183016876279777	0.38666754855459784	0.6278897891756519
26	24.604361598724374	2.0692479219201663	0.4281265475605954	0.812837901841934
27	26.26386862127061	1.7835494196881654	0.5046177242747799	1.0322258420871941
28	27.75369182877045	1.6707516132671858	0.6143903781445458	1.2346702665141844
29	29.03500961510951	1.8051048281357944	0.7627686646288395	1.364200530669043
30	30.09443935842934	2.2044350470487792	0.9627789609884861	1.3796295105542211
31	30.930437308876716	2.8345311620597475	1.2260438005200922	1.2719570651615704
32	31.542950646355855	3.630867172746134	1.545838840485647	1.0713597938603523
33	31.932892253082773	4.525400371014188	1.8864441714885585	0.836159315074664
34	32.1128696703479	5.467327927037025	2.1902419461118376	0.6342015001736635
35	32.119190977708534	6.43020445338593	2.40348866009474	0.5253872098456785
36	32.024524815280806	7.408158478941491	2.5053775787167223	0.551433800044839
37	31.939829876220607	8.398041381500763	2.519692507990322	0.7338033092099161
38	31.99995155318033	9.385590246082065	2.505061037316014	1.0759959307116178
39	32.33388490916997	10.339851421656912	2.530467641964221	1.5674942678534762
40	33.02164390015801	11.224638935171606	2.656544786925116	2.1922183254636995
41	34.066840500538795	12.021843282793496	2.946167820846665	2.9503549229185984
42	35.4057194221822	12.75808643852234	3.4866313755473697	3.8750353514566265
43	36.95812535778641	13.506413467883963	4.412529915258363	5.036823898810855
44	38.68869445099637	14.36790485338009	5.8856556590272096	6.529659965443243
45	40.62856781824366	15.430425805058174	8.040439018690279	8.427294102607233
46	42.83719873479063	16.756231442667122	10.902505031453558	10.74696710969534
47	45.32933457926474	18.39436273813017	14.355844646209896	13.42992730249934
48	48.02147768113574	20.408973211427018	18.180097932974924	16.354851633036056
49	50.748056471540835	22.908832340623952	22.157656757352882	19.372102401473516
50	53.3348523067711	26.015317440580695	26.18370007250242	22.326374082783012
51	55.67756216898029	29.80906950383236	30.302026078410037	25.06547172292474
52	57.776283789423154	34.26097315570128	34.625967106801625	27.422803281885052
53	59.710964829530205	39.22187354535722	39.195825736165894	29.2171999882464
54	61.59294488465291	44.454877009841866	43.88304283310486	30.295910015075783
55	63.52716485835174	49.70894795826081	48.40926826264621	30.62597017581924
56	65.60028574667723	54.77272801188438	52.47478572117093	30.387686463103172
57	67.87482449832402	59.50240095731036	55.88257873291153	29.99293519373966
58	70.37010840414399	63.82393069837353	58.55457925080138	29.99133455987208
59	73.03269010870602	67.75684755651552	60.47721900340476	30.893681767767895
60	75.7441302131462	71.45722076106772	61.665111154149436	33.00785656380522
61	78.36998798062221	75.23851293067493	62.22457474397605	36.38178211585871
