training_steps	true_return_DQN	true_return_DDQN	true_return_DQV	true_return_DQV-Max	estimate_DQN	estimate_DDQN	estimate_DQV	estimate_DQV-Max
0	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.0735393515707925	0.0882043876501175	0.013665142737748102	0.013116856191866099
10	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07456945881731808	0.085741729822608	0.0147985864225775	0.012598689836729317
20	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.05388697451278567	0.096154132014367	0.01743491282146424	0.012194756495393812
30	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06857517798244953	0.086481993532685	0.016978744332771748	0.015511787693854421
40	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07547208902016282	0.086461058664174	0.012275122555717825	0.012789279269613325
50	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07452657030075789	0.085253310103242	0.0155007349697873	0.013843052681349218
60	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.05573741391412914	0.09302991704521	0.01628715929845348	0.013557666294742376
70	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06453498039618134	0.090640813225128	0.014489631573855877	0.01403153233351186
80	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.0707802245510742	0.086139668170634	0.01407018519518897	0.013453746953979134
90	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.0710523403674364	0.086071992295787	0.014315365809062496	0.014151227433420718
100	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.057555211342312396	0.091015873752947	0.016119102794118226	0.013282627213001252
110	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06309021319448947	0.092720937190477	0.014382124243676662	0.013357435945793986
120	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07651758282780648	0.0864288492193825	0.012866362846642733	0.01309185922211036
130	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07250582689456642	0.0854984169421185	0.013636643009632826	0.014860326036904008
140	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.05983167321304791	0.089000952419725	0.016509698825143276	0.013750801275111735
150	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.059711719810962675	0.095260234069305	0.015524181077070534	0.012715422686003149
160	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07504103069268167	0.085932842222406	0.013881535916309804	0.013410835715197026
170	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06996512841200456	0.085322761090699	0.01446510589364916	0.013685603696573526
180	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06386418495476245	0.087085307442321	0.015738271792186426	0.013933575580455363
190	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.05517342538610101	0.0976667234141315	0.016368181997630744	0.012147225254774094
200	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07614677414502949	0.087983540103634	0.17137681010486558	0.014425544812949375
210	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06911801141928882	0.086911859714582	0.15937216136157512	0.016576060786415475
220	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06679867639318109	0.087086161288199	0.14965737529918552	0.015057219456037274
230	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.05662547224576119	0.098278698388131	0.11561167426891625	0.012912216541683301
240	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.08494787567891181	0.080640627859285	0.17227910457365214	0.01979121598745696
250	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.08676973097919254	0.075931016825131	0.16406359306368976	0.026598022214695812
260	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.07814310211947886	0.072265917358551	0.16677010545022786	0.024845189785165714
270	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.06518865563897416	0.078086157230472	0.10800230279909447	0.028112274966575205
280	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.09448506021439097	0.063768744450054	0.18671927351728082	0.04536958911488764
290	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.10478038390390575	0.060155293975668	0.1616098196725361	0.04964333871076815
300	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.09573104602023959	0.055138379515441	0.18266076029315592	0.052955313173600006
310	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.08176684752723667	0.055917839669752	0.11062136495849118	0.07200194380445173
320	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.11284993925625458	0.042455969256315	0.1695163804402575	0.10986476888339966
330	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.13205367504889146	0.040722889345722	0.17212879547774793	0.11606728669349105
340	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.13685470945658162	1.032296826376427	0.1740331068092957	0.10332415459360927
350	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.11320218227924779	1.030939231457107	0.11187368429470808	0.11460416912520305
360	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.15879268150236459	1.017870815280813	0.1920293398976326	0.1422689334217459
370	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.15143500999072568	1.034741542869843	0.1853277725365013	0.14030903391055763
380	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.14004078036723658	1.037902164288739	0.17249984265603124	0.13486913779079915
390	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.14851383274011315	2.015301263800017	0.16447636658325793	0.21332972264029085
400	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.16205937736388296	1.997892502586949	0.20635761929377913	0.21168426798917353
