episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
145	-19.4817008886206	-20.974040159053974	-20.524782724873404	-20.97904785025234
146	-19.49194788555866	-20.98032210541173	-20.57056568634748	-20.959242471698524
147	-19.50558205329791	-20.97565357853602	-20.62188266123553	-20.927846665658965
148	-19.52784918215424	-20.959766402550244	-20.671452330034036	-20.883345799719493
149	-19.558932514930543	-20.931715947211934	-20.712225683147906	-20.82719432913102
150	-19.590035866940934	-20.890920390975598	-20.739227144959358	-20.764858860048385
151	-19.60655965689323	-20.838264118626512	-20.751274708527482	-20.705697061651644
152	-19.59665258963243	-20.77679527468787	-20.75176049311179	-20.6612306284852
153	-19.559327817542666	-20.71118164312387	-20.747760083644962	-20.641918339052136
154	-19.505976453405246	-20.646876046639047	-20.74768277859459	-20.653371722999644
155	-19.454559065232992	-20.589215452373118	-20.75830124209304	-20.693732454833725
156	-19.420806266485542	-20.54113047016149	-20.782308174158686	-20.753868623524646
157	-19.411375103148252	-20.501367065871303	-20.81784840740697	-20.820639488668792
158	-19.423104977989876	-20.462982743517824	-20.859236879654702	-20.88175587069511
159	-19.446816961754905	-20.414149347937375	-20.899341079491503	-20.929367145612137
160	-19.472439647362958	-20.341757006046805	-20.93151124110327	-20.961050350061477
161	-19.491502377034223	-20.23721158297871	-20.95067151166262	-20.97816075501572
162	-19.496115706888677	-20.10217509809677	-20.952938702575047	-20.983296781197144
163	-19.476480433258708	-19.952210487372845	-20.934827175111533	-20.97832903653785
164	-19.42131168496199	-19.81550935563912	-20.89283490867843	-20.963820363983267
165	-19.322312389240373	-19.72557950221892	-20.824760508899754	-20.939687526161084
166	-19.18093572835121	-19.70859078984755	-20.7324995532639	-20.906462611976234
167	-19.010702355040785	-19.770255496347144	-20.6248919553097	-20.8659416305966
168	-18.832549321520347	-19.89079520797047	-20.518668683907514	-20.820538987937915
169	-18.665536443477684	-20.03229818710075	-20.435461155693037	-20.77243047528559
170	-18.52009245991044	-20.15600456018332	-20.39521694004086	-20.722532820466945
171	-18.398565896213565	-20.239200035528054	-20.408802216403608	-20.670800933074936
172	-18.300792579420172	-20.281783803772846	-20.473060404082943	-20.617581944279287
173	-18.228841703984198	-20.29957710642559	-20.57171599817283	-20.564436906758672
174	-18.186489925530307	-20.31113378533184	-20.68146636200006	-20.51469107140381
175	-18.17557290773848	-20.326892839976182	-20.779943969095292	-20.47296878387273
176	-18.192953958101008	-20.347366312534746	-20.85150682195599	-20.443880235647647
177	-18.231977150588705	-20.36862404952184	-20.88878171261898	-20.429742756624716
178	-18.285902001833463	-20.38908431319005	-20.89058199825289	-20.427480163832698
179	-18.35068048315654	-20.41166482249313	-20.858767485970713	-20.427177512414737
180	-18.42450460748833	-20.440276692399788	-20.795541559883823	-20.41495865354087
181	-18.504770041674224	-20.475173584703228	-20.70269420394426	-20.380125606482533
182	-18.58516270401575	-20.51033994626733	-20.582857338310255	-20.32269571005669
183	-18.654191029580744	-20.536405101347874	-20.442320322972797	-20.255571871580077
184	-18.697412784504607	-20.54622960492965	-20.29360966576799	-20.19894386496793
185	-18.702030545426933	-20.538826674066264	-20.1556239196664	-20.169408266556978
186	-18.662322237846073	-20.519077733490953	-20.049507798169802	-20.171016592515983
187	-18.582659823957258	-20.494052691379295	-19.991881836024376	-20.19418229184129
188	-18.477461194855252	-20.46910495460206	-19.9887201976296	-20.223186605270197
189	-18.36783116223286	-20.447191252128277	-20.03316812541118	-20.2468116928027
190	-18.276339044677176	-20.43072191098129	-20.108332128949826	-20.264542199775654
191	-18.22217862083782	-20.42381697517333	-20.193320421475022	-20.28469087220722
192	-18.21773702909336	-20.431988235373737	-20.27021361992889	-20.317127004980232
193	-18.26598350396643	-20.458509433558724	-20.329812113660985	-20.367114317364077
194	-18.358917675947225	-20.500354760807426	-20.373643154347324	-20.43360484641552
195	-18.477462864952514	-20.546412053356995	-20.411285306235754	-20.511626812465174
196	-18.59317049492824	-20.58026892610011	-20.45386480641227	-20.594237167899898
197	-18.674675647254844	-20.58606256169562	-20.50765445925942	-20.672673036545103
198	-18.695520995284593	-20.555326750009137	-20.571138484772558	-20.735164160280924
199	-18.642165957236788	-20.49118155614519	-20.636850379689708	-20.766953054535747
200	-18.51841630888508	-20.407728415485806	-20.69594412053106	-20.752481314233236
201	-18.345267642283908	-20.324859694044893	-20.74266111402511	-20.678976876100126
202	-18.157150251764005	-20.26067928131386	-20.776452329964577	-20.540184576876058
203	-17.994041651698296	-20.224968961238517	-20.80115597663874	-20.339517595823956
204	-17.89073365799355	-20.216316600443943	-20.821736736126994	-20.092214893613523
205	-17.865271737151552	-20.224143465223953	-20.840749916153456	-19.825338041843775
206	-17.90997518076666	-20.23457037819523	-20.855807736462708	-19.57518476820378
207	-17.99076756868562	-20.236950220499736	-20.859992264563406	-19.380362757588394
208	-18.057912655335457	-20.228778149113158	-20.844819399237874	-19.271838948956763
209	-18.06623232741158	-20.215770009160316	-20.80407370419992	-19.262774827345975
210	-17.996879774001965	-20.208283948093666	-20.736144452036726	-19.343287838957448
211	-17.868519861641758	-20.215699978487912	-20.644041419813654	-19.48381149866709
212	-17.730930435477635	-20.241490850035966	-20.533450288545374	-19.646316249324364
213	-17.641983439707047	-20.281655784911248	-20.41100923053655	-19.797304528234356
214	-17.64028003454259	-20.32615618693918	-20.283915998114658	-19.915691097656598
215	-17.72849837361363	-20.36322942442527	-20.160393128587497	-19.992992963868296
216	-17.874452193560074	-20.384092039874666	-20.04953607918146	-20.029097448216632
217	-18.029025078149296	-20.386296973696933	-19.959712461384694	-20.029401829912352
218	-18.148778028398382	-20.373692350615602	-19.89699929004017	-20.00506601599166
219	-18.211813225731074	-20.353441994228646	-19.865428115431293	-19.973370597755242
220	-18.22067785544779	-20.331844352112007	-19.8687219388139	-19.95392667019142
221	-18.19440051301687	-20.311130551441966	-19.911121341025208	-19.959869993623574
222	-18.15491135843724	-20.288829768222215	-19.994744900389232	-19.989316567843563
223	-18.115262449565165	-20.259359415157807	-20.11498703366175	-20.023927132648843
224	-18.07380816970685	-20.217669805556422	-20.257843378141736	-20.036350450650176
225	-18.016686287221308	-20.163320102035023	-20.40214212490044	-20.00353906971415
226	-17.928298669183278	-20.10273770956603	-20.5263966898605	-19.917752516779125
227	-17.80483482422632	-20.04832783443965	-20.616395100708672	-19.78967524696539
228	-17.664413076230836	-20.0132807384686	-20.669026853074932	-19.64283645303113
229	-17.545174406438175	-20.004819689606975	-20.69068073597692	-19.503699876355114
230	-17.490726442365215	-20.019657073379047	-20.692189463812227	-19.39320158142238
231	-17.528837994491226	-20.04492336980391	-20.683502299224678	-19.32286235088291
232	-17.655047454081167	-20.064934476523057	-20.670413623647082	-19.2957404379068
233	-17.830869296846124	-20.070132225740245	-20.654254927677577	-19.309080280421533
234	-17.997272822091087	-20.06340316829604	-20.633421694379802	-19.35689742249821
235	-18.096521876365962	-20.058896154025643	-20.606084898867913	-19.430988032994183
236	-18.09234042847654	-20.073955964228244	-20.57244256636581	-19.521324315674203
237	-17.980291296492716	-20.11894241648622	-20.536440303457503	-19.61589190697517
238	-17.786397641511726	-20.19143600345184	-20.50575267497642	-19.700990086170812
239	-17.5569122650906	-20.278072242831087	-20.490012186135388	-19.762435891653276
240	-17.343209523959686	-20.361547393538203	-20.497788896257376	-19.788575149055973
241	-17.18749058094717	-20.42718890406492	-20.532850730167482	-19.77465680290246
242	-17.111631466074606	-20.46569522203888	-20.591641020907154	-19.725544158804286
243	-17.112835544131315	-20.473205718672595	-20.662847550431746	-19.655469251336694
244	-17.167294346789422	-20.45025567117799	-20.729480074885977	-19.583874655488
245	-17.240790001382077	-20.401739136633743	-20.772647313663917	-19.530066342025485
246	-17.3021100845086	-20.335804952257178	-20.77655503564153	-19.50997117815577
247	-17.332654895903023	-20.26121631550005	-20.7332041038896	-19.53351311648695
248	-17.33011715258914	-20.184552565436185	-20.64599589620093	-19.602835953167787
249	-17.305549461887765	-20.109943435730372	-20.530320593021536	-19.709659760547776
250	-17.277566505303543	-20.042033912610833	-20.409879539173133	-19.83466426212593
251	-17.265937226755483	-19.98846809169413	-20.308613075673144	-19.95035356199318
252	-17.28600957325376	-19.958392881274253	-20.241411603223565	-20.026933462776626
253	-17.34563777561344	-19.956640891116614	-20.208228791128903	-20.039810378242873
254	-17.444080297460467	-19.977302559721164	-20.19535362215933	-19.975739226771164
255	-17.57341959973461	-20.003259543575684	-20.18258003515093	-19.838833088928396
256	-17.720924659642847	-20.01409582456213	-20.15341792590117	-19.652538545813705
257	-17.870428314823677	-19.998337204732294	-20.102496143949637	-19.45540093185463
258	-18.002598553769282	-19.961383615544268	-20.037313195585636	-19.288720555952903
259	-18.095102403781556	-19.92340695763611	-19.97358129948229	-19.18037065226984
260	-18.12668501093429	-19.908244392528303	-19.92676650419709	-19.13435661215933
261	-18.084194903633772	-19.9309878489116	-19.9044818221711	-19.131091239249475
262	-17.970945135590657	-19.992629322322202	-19.90449339550172	-19.140328389412034
263	-17.80988730565733	-20.082971248534264	-19.91848029549741	-19.135570431103993
264	-17.636766494227956	-20.188049809554393	-19.93822090591988	-19.10308562569285
265	-17.486069852739355	-20.29563418092738	-19.95876287834403	-19.040778741327603
266	-17.374602958063072	-20.39700296100682	-19.977034051499956	-18.951876953130142
267	-17.29600964035567	-20.486542911885312	-19.9878652942011	-18.839480595919085
268	-17.227747496186304	-20.560428715536954	-19.98306877466606	-18.705567605832726
269	-17.146523443190144	-20.616286003457073	-19.954902967439907	-18.5550586916166
270	-17.04042257801338	-20.651445912929475	-19.901673619559592	-18.40061399464336
271	-16.910690367961667	-20.66072361435713	-19.829973598391337	-18.264196105029
272	-16.765803279242796	-20.635887431689547	-19.752494239047103	-18.173552473743545
273	-16.613351541242054	-20.568174310401382	-19.682426773236475	-18.152954726603674
274	-16.45743969050912	-20.454572647168618	-19.629734178319524	-18.212484784696994
275	-16.30078070032553	-20.304080240803145	-19.60008012733524	-18.34137502545724
276	-16.147706482281887	-20.139593314884543	-19.59494662378756	-18.509369564601293
277	-16.00441949350845	-19.992419528378267	-19.61163819888636	-18.677238787631705
278	-15.877747537904082	-19.892078922457458	-19.6424190256114	-18.8108720274825
279	-15.774178502166198	-19.856563564308775	-19.675753518322033	-18.89263477545353
280	-15.701709844555477	-19.888350954799627	-19.700699087432188	-18.922590549501596
281	-15.671931919927067	-19.976636926292755	-19.711681765630914	-18.91278131599832
282	-15.698252495842697	-20.10263201356723	-19.709895452559064	-18.87777099513164
283	-15.787975537142174	-20.244263577584157	-19.69899886310418	-18.82728412656598
284	-15.932590152565739	-20.379412902292863	-19.677878198790815	-18.763261026636965
285	-16.10235694156888	-20.489107889965258	-19.63673746698958	-18.680585918862775
286	-16.253954418959434	-20.561682143694522	-19.560541371349558	-18.57079501028142
287	-16.349716221546565	-20.595314819754794	-19.43811622985761	-18.426131476112474
288	-16.377877975150042	-20.59712209088941	-19.27242035196629	-18.24648351211146
289	-16.36073281980473	-20.57844352454501	-19.08590716335385	-18.04306664263862
290	-16.34211886733279	-20.54936922746557	-18.916850695916516	-17.837129098187546
291	-16.361911671673894	-20.516392745997823	-18.808176428176104	-17.650789491965448
292	-16.42973466782105	-20.483823094479263	-18.791086470558213	-17.495568320729213
293	-16.516706077660434	-20.456545855733694	-18.87070272456064	-17.365043985909534
294	-16.567897910035597	-20.439859813896565	-19.022136975841875	-17.237660453315947
295	-16.53087546566318	-20.436956290863684	-19.199586802583784	-17.089418792666102
296	-16.381997885007102	-20.446326029863375	-19.3558355735208	-16.909858837851093
297	-16.137796510178806	-20.46156292496291	-19.46149060201916	-16.711296335133465
298	-15.846675520169526	-20.475024096201864	-19.513548654869144	-16.526534812298557
299	-15.567021414492446	-20.481371917858	-19.529460926431817	-16.394405881231027
300	-15.344774031991268	-20.478835948309637	-19.53231554865294	-16.34292958812271
301	-15.199935610001134	-20.467419008529237	-19.537439939008948	-16.379617489405575
302	-15.126938805663096	-20.445983229327286	-19.546592041268	-16.492168392033534
303	-15.104736920872384	-20.4119237591064	-19.55258583373234	-16.65497763420347
304	-15.110280903004309	-20.3645855380596	-19.546757326118044	-16.835888035423842
305	-15.12752329769951	-20.309069142290994	-19.524524135597584	-17.002546898805555
306	-15.14758231600252	-20.257303556044864	-19.48593836160167	-17.127387302322262
307	-15.161352112442188	-20.22386183973573	-19.43302292639359	-17.195707542675656
308	-15.15155898145561	-20.219147439984514	-19.367150577443688	-17.211792309918735
309	-15.091926196375896	-20.244792689028962	-19.288846265831026	-17.19902850281577
310	-14.958859055973834	-20.294348549956126	-19.200198785431166	-17.189670654423107
311	-14.74716484757035	-20.3581341189051	-19.10859725044135	-17.21081962327878
312	-14.479722495976576	-20.42824266699524	-19.030435716649272	-17.274042469079255
313	-14.20208493555284	-20.500051296959917	-18.99059383967693	-17.374675267324676
314	-13.96428889451008	-20.570590407538262	-19.014436075852522	-17.499182704877665
315	-13.802998846698316	-20.636429901539003	-19.11542426139748	-17.632792090087456
316	-13.732259958784185	-20.693344579514502	-19.282589488177607	-17.76170923054415
317	-13.747559150391705	-20.737475961860405	-19.47951173693618	-17.871114302404553
318	-13.833688644042326	-20.767430263404577	-19.656534395332272	-17.944359243199546
319	-13.97040053816287	-20.783918624001444	-19.770181458484867	-17.966352555450385
320	-14.133146387104478	-20.78748548716771	-19.79833437999891	-17.930467308816326
321	-14.295981458761036	-20.77597244246838	-19.742917866923882	-17.842417222513603
322	-14.437606835054357	-20.74364035602764	-19.621145559426257	-17.71809279459589
323	-14.549091107744344	-20.684472319990324	-19.454106938395928	-17.576122711344908
324	-14.633378622111971	-20.597168667248514	-19.260025633187254	-17.43167604266874
325	-14.696110766114948	-20.488875997501438	-19.053387941867527	-17.29353405462434
326	-14.733886244000388	-20.373705517686936	-18.847649014020515	-17.165115033703838
327	-14.728695453418144	-20.267512120216338	-18.657079643984375	-17.04495927337542
328	-14.654599011015442	-20.18101267954886	-18.495276831989834	-16.923291826681023
329	-14.491526997436567	-20.116938473639948	-18.372159752592488	-16.777138271508772
330	-14.236470561046646	-20.07222857406711	-18.289166593178045	-16.572299650489786
331	-13.906910229027572	-20.04242701824192	-18.23797910826575	-16.279630761509022
332	-13.536403660799778	-20.02478484514563	-18.205624926512957	-15.899450489113402
333	-13.16521464452276	-20.018120180053764	-18.18439171518604	-15.478907624096076
334	-12.829639647138537	-20.02127687702721	-18.180132385382763	-15.103194985289013
335	-12.551341685085035	-20.03342860611259	-18.210111404387202	-14.86166740208726
336	-12.331676410575035	-20.055748693059527	-18.29073525677049	-14.805523740278575
337	-12.15362819207267	-20.09191912390487	-18.42304461970761	-14.924494761168635
338	-11.991867249186893	-20.145309215159855	-18.588562866789875	-15.157412527815287
339	-11.823447707579385	-20.213698126312675	-18.757613915621924	-15.425658535703413
340	-11.63460032282984	-20.286619236823597	-18.90222411175424	-15.668667699471126
341	-11.421725010362014	-20.348277703828142	-19.004594319154194	-15.861057745920391
342	-11.189287285488266	-20.384462959764345	-19.05635368500676	-16.005181141921867
343	-10.947880813374532	-20.38839288461653	-19.053707125007048	-16.11199058595945
344	-10.712051034714113	-20.36156839566688	-18.9959210445783	-16.183971043834944
345	-10.499433196854657	-20.310465404176135	-18.888229108198654	-16.21099473976555
346	-10.330314354524761	-20.24220403009626	-18.7465396764578	-16.17647749709856
347	-10.22747344536241	-20.162867987692977	-18.598322434379586	-16.070106406655427
348	-10.211329096015142	-20.077583866258955	-18.478534091804672	-15.897295072227534
349	-10.290521911298075	-19.992443695414714	-18.420899218300057	-15.683714934283309
350	-10.450164436428224	-19.915991029497835	-18.448321085508468	-15.469724736271736
351	-10.646446597292538	-19.859811419917833	-18.563023859144494	-15.293970391340505
352	-10.816961610820302	-19.836774020795975	-18.743044383704387	-15.173360179732965
353	-10.902808902429147	-19.85701712741791	-18.94635155049831	-15.09080214504725
354	-10.87301738956804	-19.921835578259167	-19.123104219213793	-14.999986211092535
355	-10.736037582696472	-20.020229495181933	-19.231596744401806	-14.848847825581085
356	-10.533138399082304	-20.13120315092861	-19.249693348136628	-14.607755333179536
357	-10.317365199231197	-20.231368187513514	-19.17809441986271	-14.285116604819919
358	-10.134835318104301	-20.30357512286129	-19.03598680971123	-13.923775077669806
359	-10.015785507550778	-20.341697877714154	-18.85289485750681	-13.584281388279718
360	-9.976225363344753	-20.349266098959294	-18.659603630498705	-13.32345812987058
361	-10.021261556938672	-20.335170799394426	-18.481784625908183	-13.178764487123004
362	-10.14219029404127	-20.30850101993863	-18.33495658793293	-13.160869078400571
363	-10.31182219739145	-20.27432059576575	-18.22189655236245	-13.251280815588654
364	-10.486121561100278	-20.23135056456102	-18.132682277369064	-13.407856710464207
365	-10.619202940991865	-20.172361674975328	-18.04807042966288	-13.57568757592536
366	-10.68433049941315	-20.088774537724433	-17.94701256224763	-13.70383635849186
367	-10.68646460830249	-19.977275270821885	-17.816362930093064	-13.761320058374125
368	-10.656701505157832	-19.845303446782307	-17.65774216061253	-13.745085573790124
369	-10.632734063824941	-19.711692414873113	-17.487507973708873	-13.67909794677625
370	-10.638158923454924	-19.60075594097937	-17.329803667981224	-13.605898911547623
371	-10.673772179751417	-19.533547890579054	-17.20704322307999	-13.576858401353471
372	-10.72287696412677	-19.520175210204368	-17.13644301854228	-13.639492777495295
373	-10.764430820922431	-19.557407013062015	-17.12963906886866	-13.824066822374482
374	-10.784342622097522	-19.632385290778416	-17.192586383825542	-14.129608464964686
375	-10.77879934175024	-19.72968669737966	-17.319313043082595	-14.516966243780082
