baseline	100	75	50	25
71.85	74.8301808407	66.715542522	63.4408602151	54.4477028348
71.85	77.8103616813	70.7722385142	68.0840664712	59.9217986315
71.85	80.1075268817	71.0166177908	70.2834799609	60.4594330401
71.85	78.7878787879	73.6559139785	72.091886608	57.2336265885
71.85	80.596285435	75.6598240469	74.633431085	59.7751710655
71.85	78.1524926686	76.1485826002	74.3890518084	61.339198436
71.85	79.8142717498	73.7047898338	73.9002932551	60.1173020528
71.85	78.8856304985	75.6109481916	75.8553274682	65.4936461388
71.85	81.7204301075	76.3929618768	76.3440860215	65.0537634409
71.85	80.8406647116	74.926686217	75.366568915	66.0801564027
71.85	79.8142717498	76.1485826002	76.1974584555	66.7644183773
71.85	80.6940371457	78.2013685239	75.219941349	66.2267839687
71.85	80.2052785924	76.0997067449	75.7575757576	65.1515151515
71.85	80.889540567	77.8592375367	76.1974584555	66.6177908113
71.85	79.6187683284	77.1749755621	75.4154447703	63.3919843597
71.85	79.2766373412	76.0019550342	75.366568915	65.2492668622
71.85	81.5738025415	76.4418377322	76.6373411535	66.3734115347
71.85	78.6412512219	78.5434995112	75.9042033236	65.3470185728
71.85	79.2277614858	77.3216031281	74.2913000978	67.3998044966
71.85	79.2277614858	78.5434995112	77.3704789834	65.8357771261
71.85	79.6187683284	75.2688172043	75.9530791789	65.5913978495
71.85	78.2991202346	77.0772238514	76.6373411535	67.7908113392
71.85	78.4946236559	76.0508308895	74.8778103617	67.6441837732
71.85	79.6676441838	74.2424242424	74.5845552297	65.5425219941
71.85	78.0058651026	76.6862170088	76.3440860215	66.275659824
71.85	78.1036168133	75.5131964809	75.6109481916	66.9110459433
71.85	76.4907135875	75.6109481916	75.9042033236	67.3998044966
71.85	75.4643206256	75.7086999022	73.6559139785	65.2492668622
71.85	74.633431085	73.9980449658	75.5620723363	68.8172043011
71.85	71.4565004888	76.0019550342	73.2160312805	65.1515151515
71.85	69.3059628543	76.1974584555	72.7761485826	62.6099706745
