episodes	DQV	DDQN	DQN
0	2.9349363674	3.2201612903	6.7195564516
1	4.1818210016	13.0338709677	16.7300806452
2	5.4287056358	22.8475806452	26.7406048387
3	6.6755902699	22.6612903226	26.7511290323
4	7.9224749041	22.475	        26.7616532258
5	9.1693595383	22.2887096774	26.7721774194
6	10.4162441725	22.1024193548	26.7827016129
7	11.6631288067	21.9161290323	26.7932258065
8	12.9100134409	21.7298387097	26.80375
9	14.156898075	21.5435483871	26.8142741935
10	15.4037827092	21.3572580645	26.8247983871
11	16.6506673434	21.1709677419	26.8353225806
12	17.8975519776	20.9846774194	26.8458467742
13	19.1444366118	20.7983870968	26.8563709677
14	20.391321246	20.6120967742	26.8668951613
15	21.6382058801	20.4258064516	26.8774193548
16	22.9080100008	20.1322580645	26.6580645161
17	24.5713869464	19.6967741935	26.3677419355
18	26.0569215731	19.4193548387	25.8806451613
19	26.8814572524	19.464516129	25.6290322581
20	27.6618166779	19.1290322581	25.3419354839
21	29.426084668	18.8806451613	25.0387096774
22	31.9608241221	18.7387096774	24.3322580645
23	34.7958869088	18.4483870968	23.8258064516
24	37.6591849011	18.3580645161	23.5967741935
25	40.5838784871	18.3290322581	23.135483871
26	43.1546732837	18.0548387097	22.764516129
27	45.7196781713	17.8387096774	22.2741935484
28	48.5974509362	17.6451612903	21.9709677419
29	51.8873599519	17.2322580645	21.3903225806
30	54.9881570043	17.3612903226	20.8903225806
31	58.4727047146	17.1709677419	20.5483870968
32	62.5237987819	16.9838709677	20.1580645161
33	66.8596511016	16.7516129032	19.4548387097
34	70.9506729829	16.464516129	18.7774193548
35	74.3108128431	16.4290322581	18.364516129
36	76.9381156478	16.0709677419	17.5322580645
37	78.2655838785	15.764516129	16.9193548387
38	78.9219490187	15.6709677419	16.2225806452
39	80.0748928491	15.3741935484	15.0161290323
40	81.9377772765	14.9580645161	14.4225806452
41	84.172193398	14.7290322581	13.9935483871
42	87.2774268742	14.4516129032	13.6322580645
43	91.0499285661	14.1612903226	13.2
44	95.1062109933	14.0935483871	13.0451612903
