episodes	DQV	Tiny-dqv
0	5.974969545994636	24.702762296184154
1	5.6905752910171845	24.204663902572264
2	5.241962577114963	23.182210665504115
3	4.793619302539424	21.681867455140445
4	4.4589996108526915	19.92033316050572
5	4.258767108765222	18.27112678792348
6	4.14395523775095	17.12305118397296
7	4.061931299525106	16.70262638040122
8	4.002850816086566	16.975584784277824
9	4.010675052795807	17.675771157736783
10	4.162023983752005	18.424342575136635
11	4.531811438136948	18.85835422489098
12	5.159608795719553	18.748269120125443
13	6.025239130484928	18.072193279972105
14	7.037144165046982	17.03684180680235
15	8.046477126112148	16.01168116252992
16	8.89069145827732	15.382422275757955
17	9.444186622188706	15.39134605484603
18	9.655152465824179	16.037529949521957
19	9.548227183258472	17.1090413719471
20	9.204876365162058	18.289941583913482
21	8.736838945979077	19.287239753200147
22	8.279178026149808	19.9173511997109
23	7.977311763292373	20.139644267463044
24	7.9622140635622385	20.054190497875638
25	8.312593075542054	19.857485500450558
26	9.029112601269803	19.759265527675982
27	10.042928930201588	19.881148037321026
28	11.259052684398222	20.18561799873242
29	12.588282393536247	20.477329567925874
30	13.942367790312977	20.502459733001217
31	15.205795496535057	20.08762030239673
32	16.21459434880627	19.262834608269213
33	16.7925524116024	18.291123325611867
34	16.82121235860913	17.582920260739485
35	16.298012156758038	17.531588726169137
36	15.340367229587219	18.344623108775266
37	14.13102412273927	19.948573602838817
38	12.841965417268495	22.00131758231435
39	11.587236438805828	24.008425524262485
40	10.419227338819946	25.484210639964324
41	9.354453347374424	26.10022445796902
42	8.406364332192076	25.77124162437404
43	7.6026009385659625	24.655625196567698
44	6.984390111693673	23.067123621887887
45	6.591011729733221	21.358061778473797
46	6.440472057703415	19.795657591006144
47	6.505240978170831	18.50585767380504
48	6.708217598424373	17.50812450366179
49	6.9440267133006	16.80914212769226
50	7.116397710359454	16.469951579642167
51	7.1788768559068	16.570649388401183
52	7.148222961498972	17.09628236498429
53	7.0897093692681405	17.849983042651225
54	7.089850361167262	18.500919131375614
55	7.221394881497141	18.747964140918334
56	7.51397912133795	18.503576757488872
57	7.935453897460657	17.934031328680884
58	8.392470457305272	17.340461684005426
59	8.759224594300816	16.96463737935688
60	8.939636909469609	16.865302995930133
61	8.9220516399875	16.933136172636324
62	8.810269985811658	17.004309252163242
63	8.800114593121146	16.972652832524798
64	9.111147452901143	16.8135865580499
65	9.90682738012214	16.537286207030476
66	11.229470263764101	16.12461504145259
67	12.97988902122516	15.526495560112444
68	14.937098732804294	14.729614517741684
69	16.81409526654332	13.838632596239307
70	18.313145502492173	13.082677153762223
71	19.182095497294515	12.73268561462042
72	19.267364478229045	12.956176749754503
73	18.564319650376543	13.698459830571691
74	17.233963340351238	14.674502732379182
75	15.57567890751511	15.488287066968024
76	13.933226651423352	15.811136521950512
77	12.591234604586234	15.51421154713702
78	11.69705309646424	14.688793079976048
79	11.256329493884126	13.554320161142632
80	11.187099668163288	12.336544558388573
81	11.396233582982461	11.188798408740244
82	11.833929153569738	10.194237264021512
83	12.509694517705416	9.412723798906457
84	13.458804397456824	8.923492803685832
85	14.671947010319665	8.818421644431822
86	16.028837875782212	9.153034960459207
87	17.27791520708134	9.889062394381934
88	18.103714179495125	10.871759258040184
89	18.25560426351979	11.864640561263979
90	17.666972414998128	12.626976230529497
91	16.494892309246577	12.997425711161753
92	15.048482323038733	12.942462056111047
93	13.659829615541952	12.558776422680962
94	12.557106108308671	12.033270865953376
95	11.806508147985031	11.580412117575184
96	11.329921543148059	11.371709794908613
97	10.979569811138358	11.47210485324437
98	10.629481230063375	11.819440773990577
99	10.242850078001641	12.256338848765317
100	9.882770527462583	12.60866153099759
101	9.678286995240843	12.765952886989002
102	9.75513776428489	12.71897723616562
103	10.179291224769429	12.53741788587118
104	10.931690702223401	12.315605850069144
105	11.925794494723265	12.119594368749375
106	13.04986365884546	11.963936893156228
107	14.198691446150395	11.816366058176836
108	15.283142128853834	11.627001303389585
109	16.21918456153151	11.357579247585907
110	16.93122455484037	11.007526241030526
111	17.38048575398389	10.621245094074409
112	17.598882668892248	10.280698046834312
113	17.687900480341963	10.083139694958406
114	17.759790975746647	10.11059680933098
115	17.858251133802423	10.380993526753874
116	17.916220361088875	10.810893868871299
117	17.792006704020753	11.220331579860622
118	17.355129599659335	11.40361532627929
119	16.5663071469635	11.239721277851801
120	15.507426792193394	10.757317388643063
121	14.35296082544778	10.10921419006001
122	13.321295391940888	9.473125444559727
123	12.614230938480464	8.953673260052495
124	12.364444934777609	8.559097682687336
125	12.599200905986871	8.253638752575586
126	13.232898981096774	8.026888415728603
127	14.102095111412723	7.9282922500581305
128	15.022060374690387	8.044466071263402
129	15.820174600055118	8.45341813916742
130	16.332867950199184	9.183808975326642
131	16.387506776236204	10.196333866718186
132	15.828777181951159	11.382140017712677
133	14.60742090365725	12.568195462620091
134	12.873555757952795	13.54766185342994
135	10.976095670582856	14.126446883941245
136	9.349048932834352	14.190774495323202
137	8.335337471187247	13.758549168864148
138	8.061025539199514	12.995956864752948
139	8.417246720097292	12.168349656489124
140	9.135708100215076	11.546973676002292
141	9.897461726197456	11.309073600458396
142	10.422581912085809	11.485574162625575
143	10.523570131552443	11.976349660265855
144	10.137972302219417	12.623344640396851
145	9.332140592483606	13.30415500581217
146	8.29720467114622	13.990129399711366
147	7.307494099172665	14.737259256247281
148	6.675107140436897	15.61664365039456
149	6.6872363236353	16.628293198403288
150	7.536894472240419	17.659172755340013
151	9.254598127540326	18.520025397756193
152	11.656082002144313	19.03618388833535
153	14.338456822138799	19.131284250087035
154	16.75198787724136	18.8422723035236
155	18.33961887575063	18.273123377575686
156	18.713549006341196	17.52535053520403
157	17.792811165699092	16.65704038547066
158	15.830391811364128	15.68207424622736
159	13.316428481539695	14.598682982586599
160	10.801483881215907	13.424068650998668
161	8.720970141387218	12.214805535607342
162	7.299085160923822	11.060352321158186
163	6.546399879680712	10.056112684678046
164	6.327748531353742	9.27852414448735
165	6.456027205528856	8.775058036350618
166	6.768563987077976	8.565505809256436
167	7.185535136636718	8.647575189235235
168	7.7172502998621875	8.9959259204092
169	8.429709896588662	9.551249738340779
170	9.390605647718408	10.214627274849589
171	10.615408065244345	10.851912151395075
172	12.054373012312931	11.31941574683312
173	13.589118068921902	11.497408629823981
174	15.074817430856122	11.321628130432577
175	16.3793272230101	10.79997564297358
176	17.439254952563317	10.018288968480274
177	18.308361496678174	9.127966493400791
178	19.152321239004657	8.321713813824129
179	20.162120318697607	7.795322870428758
180	21.40188688777985	7.69798570674085
181	22.688737250569176	8.089737700970066
182	23.607107159745958	8.921775658196843
183	23.690940612296565	10.04872088446632
184	22.679723695566842	11.265003231129088
185	20.68350571821125	12.359645232344384
186	18.1450277687739	13.16604695620446
187	15.61392660321611	13.59830506702843
188	13.485658315714632	13.651914234353558
189	11.87087577462983	13.384466154114472
190	10.654254417864834	12.884325805116099
191	9.6661195811598	12.256574777342337
192	8.81634629723959	11.62599972546078
193	8.12928379768722	11.13860102396367
194	7.671893283096119	10.946606314251369
195	7.471902822058065	11.162822639084263
196	7.49222109843145	11.81667080942071
197	7.681990877548657	12.830866179096601
198	8.042165021882159	14.04174295502504
199	8.61812830120146	15.243760559767198
200	9.433683852786011	16.236821521771567
201	10.39169387695493	16.848763924701526
202	11.25591651233761	16.949311940359546
203	11.746747890652506	16.466718954550647
204	11.698188229477399	15.424426793835414
205	11.169500603681293	13.976651760371677
206	10.435731476205268	12.40358809067144
207	9.863511835273808	11.04157653982728
208	9.744065400140776	10.178451329868473
209	10.17416892978957	9.957876232452678
210	11.024890132560925	10.349401692113025
211	12.008371819019576	11.19345270754148
212	12.808468111883801	12.288775214934235
213	13.231801732867332	13.472194155411795
214	13.302478438299648	14.641393570123244
215	13.258652291528211	15.731580122859757
216	13.445621543654987	16.66858645682178
217	14.14918994543886	17.360682277007285
218	15.440816759018892	17.743769539018622
219	17.097909949312058	17.83876595752933
220	18.63537434609033	17.774635708097783
221	19.460383066259624	17.73215090703456
222	19.095623737531334	17.840169000878234
223	17.401210931731928	18.091536693382984
224	14.663226396501786	18.328711953971663
225	11.507498394535068	18.31161909575821
226	8.684801463566334	17.82530715938478
227	6.823336845758918	16.77662782153968
228	6.263559422861746	15.245195852579375
229	7.00134097685649	13.464174911997825
230	8.722793971096687	11.742910762982545
231	10.90038754256024	10.363475523554763
232	12.938421355327915	9.493167350255662
233	14.342522174275105	9.150702498046892
234	14.859053305971003	9.24056647824289
235	14.535938572587556	9.611277000044295
236	13.665684796016723	10.107235162030433
237	12.654331756295422	10.599759785303844
238	11.8627800150175	10.995340750512161
239	11.493749756039591	11.25141459402695
240	11.54949936767632	11.387004353655252
241	11.868821280956197	11.486808846842061
242	12.220591953063927	11.673572699379417
243	12.407808831168275	12.051987844483731
244	12.337908132303976	12.651939157841625
245	12.033910399907166	13.393594980857332
246	11.591516554598417	14.106958942597569
247	11.112299888037272	14.599291433606723
248	10.643596799393615	14.734035154902607
249	10.170148273792172	14.481013213394307
250	9.648238082008108	13.908864141530064
251	9.057559274517851	13.138903675636017
252	8.432891928026361	12.300039356337972
253	7.8520626247204826	11.505542002472755
254	7.391472461243935	10.85131978676713
255	7.104597289990508	10.40927596449579
256	7.03056433148917	10.20951711340828
257	7.228771402699749	10.225192483958459
258	7.795262072134383	10.374359295463963
259	8.846817289368504	10.539812458950436
260	10.46444196942426	10.610372553883991
261	12.63286934374573	10.517561918524152
262	15.185281568604687	10.256103729319564
263	17.794173076393932	9.889773631947868
264	20.03294014633305	9.530562545213543
265	21.500290389418446	9.297506684846013
266	21.953976128859004	9.26957537535713
267	21.386165076170204	9.449511035371069
268	19.998692957433786	9.764314744955144
269	18.11983347015705	10.096891960254561
270	16.120482595303258	10.337751630888977
271	14.356862834754706	10.426696052340098
272	13.123375046105624	10.362067406399339
273	12.584211870210238	10.181975569249502
274	12.710020653134409	9.939680087247796
275	13.258356609837849	9.692284152116653
276	13.846044048490374	9.508998882228243
277	14.09908350071323	9.471035698540815
278	13.805142067542484	9.655433383456518
279	12.991380062885563	10.096087362984303
280	11.8696057863812	10.75096216801653
281	10.700945121224024	11.503219333080883
282	9.655300404388479	12.20795123611979
283	8.755688488346184	12.756921854875618
284	7.932679529882402	13.130953184094038
285	7.139000835143462	13.386140589876524
286	6.436512248278625	13.595525948308707
287	5.99501865337439	13.798183001798268
288	6.009386303170448	13.996899547384109
289	6.597013180155966	14.207326916090775
290	7.739258466618527	14.502226417787218
291	9.285954788831692	14.983244715965244
292	11.002370603292318	15.696745423959651
293	12.63483735450669	16.552259096215376
294	13.964638804909889	17.321432510937395
295	14.854050754819934	17.73001013991759
296	15.26117183489711	17.57635317514775
297	15.226641672389228	16.820579426275998
298	14.83668871304397	15.597088220325254
299	14.186933822808736	14.16945254299266
300	13.378335956839798	12.852519023868272
301	12.539130528692152	11.931089308336105
302	11.832300210169992	11.593545655508764
303	11.422886982858468	11.880727604320173
304	11.416879594147806	12.674276949029103
305	11.803459821374958	13.724428739858313
306	12.45245309220901	14.731631466240847
307	13.163933739523623	15.451667277953138
308	13.736461886836972	15.78203443223473
309	14.02654351052613	15.772513784517967
310	13.979179738452615	15.573508789801949
311	13.635941066546101	15.342187288617726
312	13.131813838536122	15.18027910709111
313	12.6562407142363	15.13292158819673
314	12.375870148846264	15.230580237204283
315	12.358300713740602	15.525952733067768
316	12.529129356123322	16.087829247162475
