episodes	DQV	Hard-DQV
0	-21.96860576254394	-22.861965808838672
1	-21.80880323751012	-21.935036956845394
2	-21.601986256277076	-20.36981385605887
3	-21.53294319323954	-18.59521160517154
4	-21.779884032291108	-17.000068047258175
5	-22.435541083627136	-15.839191626845619
6	-23.45335551821945	-15.243345186883857
7	-24.64743545302399	-15.262122990795914
8	-25.754121368438618	-15.86919622659357
9	-26.528102402434897	-16.92251625124111
10	-26.82536624117423	-18.1525213948188
11	-26.64413909591119	-19.225360483222477
12	-26.11538382081779	-19.856484015736527
13	-25.45304886568861	-19.902326319846928
14	-24.888608338886122	-19.379279829381826
15	-24.596923050342685	-18.42366632144639
16	-24.63064955738825	-17.243283562943446
17	-24.90310183673644	-16.0846494486017
18	-25.224333897606446	-15.197548597612043
19	-25.388268496686628	-14.77154934215652
20	-25.256030439701878	-14.861755693541088
21	-24.79074361308419	-15.349963600066145
22	-24.033273670576737	-15.982271044221928
23	-23.050162107130014	-16.48368641193685
24	-21.895859538273477	-16.677655321578463
25	-20.606870859342386	-16.543357989138315
26	-19.22790954201769	-16.182677082908654
27	-17.831787976292524	-15.733887463603937
28	-16.531490748191015	-15.296383447781166
29	-15.470554083231663	-14.905500762223266
30	-14.785977688316821	-14.56471057954284
31	-14.560635423763747	-14.295233362859324
32	-14.77845163619963	-14.163230410977913
33	-15.309663862633368	-14.261958277200467
34	-15.942239534769403	-14.650795686803557
35	-16.446087225187334	-15.279911781761596
36	-16.636621385718424	-15.948183164023284
37	-16.40858203142789	-16.336591347343045
38	-15.732453364020001	-16.126104995413076
39	-14.629453928576105	-15.145514393945906
40	-13.15859144479306	-13.466466621776291
41	-11.415460548632756	-11.398539895805868
42	-9.529369056396074	-9.384027486147353
43	-7.655931567212832	-7.85865216576837
44	-5.946322807243988	-7.137821359002156
45	-4.524810521047618	-7.358807057690155
46	-3.473949993390368	-8.478339935384064
47	-2.84049053074643	-10.299299729216834
48	-2.644871273048196	-12.507327528772837
49	-2.880955566491725	-14.7205021617428
50	-3.498924416850964	-16.546587961201197
51	-4.38154979198281	-17.65615062481425
52	-5.34401059405458	-17.85985078099078
53	-6.164252941363257	-17.159832975119013
54	-6.651285684785461	-15.7512898578123
55	-6.7122638546871025	-13.957496241930478
56	-6.384158534067967	-12.125005653959253
57	-5.812651908525214	-10.52747929238799
58	-5.1914702520222145	-9.320884633717677
59	-4.6938472058986935	-8.555373536210842
60	-4.423680853222048	-8.208880570729107
61	-4.396308248757985	-8.211981501426852
62	-4.550999313644825	-8.454969195521427
63	-4.78091955083986	-8.799852920799774
64	-4.976565219712043	-9.115162387371093
65	-5.0623466167988145	-9.313953490500882
66	-5.026694480887321	-9.367009145302081
67	-4.922752606165193	-9.28490743556429
68	-4.836136672263234	-9.079457090932948
69	-4.828160497526369	-8.748033607121426
70	-4.885575879128596	-8.295050310575377
71	-4.918245176622788	-7.764675126858464
72	-4.811210797476746	-7.243186908498986
73	-4.506720090672805	-6.817203391764523
74	-4.0592047516678	-6.516452750041478
75	-3.625792841801144	-6.290622624061779
76	-3.3926905714911215	-6.05394118938963
77	-3.480747004902641	-5.763901376817073
78	-3.8833473773015332	-5.482754053445386
79	-4.465662205739508	-5.361479175919066
80	-5.022184817593203	-5.5615299105863905
81	-5.357083747545915	-6.155497058519824
82	-5.351726504734918	-7.074579526976388
83	-4.992302475464934	-8.134336281578644
84	-4.357019120634839	-9.119381374359275
85	-3.580994532572689	-9.878828042416265
86	-2.8156670872059784	-10.374416486794013
87	-2.196625228898718	-10.659238061577094
88	-1.8216900569539582	-10.810082604181392
89	-1.7356178629396632	-10.862266698346723
90	-1.9301439944798335	-10.788032756866016
91	-2.3509744599383353	-10.517048269078657
92	-2.9213898211914637	-9.978644580193329
93	-3.5691432427099636	-9.138707762048712
94	-4.2456279722210315	-8.017297276546358
95	-4.9153671573734865	-6.696205370870342
96	-5.525928641346749	-5.30892124527207
97	-5.978124480743766	-4.014519040957373
98	-6.129671504856942	-2.9559230407778507
