episodes	DQV	DQV-Max	DQN	DDQN
0	0.991465138111182	0.4020274422335942	0.4406199671000448	1.2877397523973313
1	1.032536562443938	0.38585644975871003	0.4637907497914475	1.3484089257835268
2	1.096494645359814	0.3585376158207006	0.5153536032925092	1.4464054642748143
3	1.156986066773368	0.32829837948318896	0.604824905414573	1.5457897633641446
4	1.1934952518223654	0.30410306258643616	0.7416419245351682	1.6137986021636235
5	1.205220572517114	0.2934744659582543	0.9277651938507875	1.6326334329070118
6	1.220321769367362	0.3020830024521645	1.1499637684658708	1.6034870775873533
7	1.300307866554077	0.33620126232846453	1.380061806751335	1.542410917777957
8	1.5389759299380135	0.406650150497469	1.5857464600475553	1.4709106114008126
9	2.0515361276099253	0.5295404511440234	1.7481549850692688	1.407425635340205
10	2.9520274127601516	0.7220339804610267	1.874101090642197	1.362648328941538
11	4.317863680073368	0.9897926829535646	1.9916070024526977	1.3394766638359217
12	6.145366646407122	1.315637974406483	2.1311985477960373	1.3350922633398061
13	8.319425936100078	1.658245515746492	2.302798870192147	1.3438930627167318
14	10.613990893583187	1.9665366529235095	2.485057060282925	1.3594594512312725
15	12.743967721324315	2.204121795598397	2.635237540743772	1.3750577827171115
16	14.455428935206008	2.3666777842493105	2.712945809825315	1.384401983134379
17	15.618364442931615	2.4795265054089795	2.7037897948723764	1.3815676199346725
18	16.275623066047274	2.574273742562155	2.6283002233270896	1.3626641395352566
19	16.622899706266292	2.6615849863248284	2.530616155020689	1.3287827290826413
20	16.9301448075245	2.7220132033365787	2.457870022738793	1.2881929755249946
21	17.444443549917672	2.7213672233328383	2.4411467800217057	1.2554686823725716
22	18.314881535973928	2.639485050990846	2.4889319667655148	1.2465290394052526
23	19.56800531523105	2.4935092283404217	2.5912734007798846	1.2722058781986985
24	21.12563787096502	2.3393613240048077	2.7282069056882987	1.3333388304278826
25	22.852531322101186	2.251355737286297	2.8744570802656844	1.423026007995854
26	24.604361598724374	2.294866481256199	3.00093891188686	1.5326443181305438
