epoch	artist_prediction_acc	artist_prediction_loss	loss	material_prediction_acc	material_prediction_loss	type_prediction_acc	type_prediction_loss	val_artist_prediction_acc	val_artist_prediction_loss	val_loss	val_material_prediction_acc	val_material_prediction_loss	val_type_prediction_acc	val_type_prediction_loss
17	0.8999942076	0.3306816446	1.366247173	0.8808503244	0.4774051668	0.8401442308	0.558160361	0.7047376347	1.3728125113	2.752715823	0.8968299934	0.4403514402	0.8148577165	0.9395518707
18	0.9115066033	0.2911827222	1.3219738758	0.8829645505	0.4682500151	0.8411289388	0.5625411391	0.7371327078	1.1148981423	2.3364169983	0.8456311054	0.6469370287	0.8421174563	0.5745818277
19	0.9194856348	0.2674516277	1.2744361327	0.8840506256	0.4617959864	0.843778962	0.5451885187	0.7202594695	1.2413134974	2.3824177077	0.89169466	0.4546724326	0.8062473455	0.6864317777
20	0.9285217794	0.2393827232	1.2302914119	0.8842243976	0.4604766283	0.8496003244	0.5304320608	0.6011042897	1.9102368849	2.9094074348	0.8987219584	0.4288270564	0.8388354763	0.5703434926
21	0.9361677479	0.2161372405	1.2041532193	0.8859476367	0.4543578603	0.8465158712	0.5336581184	0.6335379744	1.746328124	3.1009007544	0.8550523186	0.596771914	0.7395266226	0.7578007165
22	0.9398459222	0.2030229378	1.177602237	0.8857449027	0.451921928	0.8488183503	0.5226573704	0.6757403761	1.5193270948	2.7112360873	0.8815398278	0.5362768911	0.8236225337	0.6556321038
23	0.9459279425	0.1830847746	1.1371164515	0.8884094069	0.4444428367	0.8524096386	0.5095888423	0.4206340013	3.7652209692	4.9574661861	0.8550137071	0.6811944137	0.8560562184	0.5110508026
24	0.9487082947	0.1706806887	1.1161937084	0.8879604958	0.4404486014	0.8545528267	0.5050644194	0.7724236457	1.0711626373	2.3274511514	0.8549750956	0.6748952824	0.8400324337	0.5813932319
25	0.9540517841	0.1569833104	1.0884266589	0.890161608	0.4345105675	0.8557692308	0.496932781	0.6309896135	1.7295611937	3.9261851292	0.861423221	0.6011784652	0.5256187498	1.5954454705
26	0.9574548193	0.1504206566	1.0772048048	0.889973355	0.4367117019	0.8568263438	0.4900724471	0.5177033862	2.7012211443	4.0348295566	0.8856326499	0.5326697413	0.7863624078	0.8009386719
27	0.9583526413	0.1414720699	1.0495286342	0.890147127	0.4317534869	0.8605334801	0.4763030757	0.6310668366	1.8030205015	3.4632329958	0.857484845	0.7316412762	0.7697208386	0.9285712186
28	0.9617991196	0.1316652386	1.0306581833	0.8918558851	0.4242320744	0.8612575301	0.4747608706	0.6621105062	1.7119217826	2.9484876352	0.8393760377	0.7614500832	0.8712305494	0.4751157699
29	0.9639423077	0.1245979364	1.0160316167	0.89004576	0.4279641419	0.8636034523	0.4634695392	0.7652032897	1.1426199642	2.2216426188	0.8956716476	0.4358356379	0.8231978069	0.6431870144
30	0.9646808387	0.120868343	0.9979093344	0.8934922382	0.4152558919	0.8650370714	0.4617851004	0.634310205	1.7896975362	2.8507017445	0.9049770261	0.3937374792	0.8152824433	0.6672667289
31	0.9673887859	0.1160258043	0.9866396217	0.8929274791	0.4165592998	0.8654280584	0.4540545172	0.6364724507	1.6688718929	3.0035112814	0.8708058226	0.5212428093	0.743928337	0.813396579
32	0.9707483781	0.1059279406	0.9652721132	0.8940859592	0.4130421928	0.8681070436	0.4463019798	0.7878682575	1.0333751676	1.9168486186	0.9045522993	0.3914452747	0.8642418626	0.492028175
33	0.9706470111	0.1037259609	0.9541919199	0.8949113763	0.4105818787	0.8706122567	0.4398840799	0.7540831692	1.1790282327	3.0309697974	0.9050928607	0.3821210765	0.707170161	1.4698204855
34	0.9719068582	0.0994648521	0.9452017223	0.8933184662	0.4110028356	0.8711770158	0.4347340346	0.5651183443	2.3503961999	3.7728865392	0.814239932	0.7848858913	0.839839376	0.637604447
35	0.9723412882	0.0970106243	0.9330271805	0.8961567424	0.4049291965	0.8722196478	0.4310873584	0.7304915248	1.3425271179	3.1588811598	0.9131626704	0.3769128467	0.7146221862	1.4394411927
36	0.9737169833	0.0921443521	0.9162135911	0.8971414504	0.399776069	0.8741890639	0.4242931707	0.6630757944	1.6049790898	2.8497329011	0.9103440287	0.3705369464	0.7897988339	0.8742168626
37	0.9761642725	0.0859525017	0.9075815978	0.8966635774	0.401170952	0.874811747	0.4204581447	0.5997528862	2.0374943255	3.077099099	0.8602648751	0.5911925434	0.8696474767	0.4484122304
38	0.9758022475	0.0862784211	0.8925897965	0.8971848934	0.3944978745	0.8767232391	0.4118135006	0.7656280165	1.1030048079	2.1179892425	0.9011158732	0.4483851965	0.8428896869	0.5665992373
39	0.9773951576	0.0820937472	0.8846902436	0.8977786145	0.3955857768	0.8778237952	0.4070107192	0.7099501911	1.4551820313	2.2761151988	0.9128537781	0.3627154142	0.8676396772	0.4582177523
40	0.9778730306	0.0814810461	0.8689784266	0.8982564875	0.3889207957	0.8817771084	0.3985765834	0.7391791189	1.3089647548	2.2403780707	0.8684119078	0.5355778325	0.8900343643	0.3958354823
41	0.9788722196	0.0795465076	0.8671264661	0.8974745134	0.3903946099	0.8799669833	0.3971853491	0.728174833	1.3663093801	2.4170756314	0.9115023746	0.3596532129	0.8101857215	0.6911130383
42	0.9803492817	0.0732274529	0.850428647	0.9003127896	0.382706153	0.8815598934	0.3944950406	0.7333873895	1.4261220297	2.3668705859	0.9099579134	0.3678409384	0.8629290706	0.5729076159
43	0.9803492817	0.0732274529	0.850428647	0.9003127896	0.382706153	0.8815598934	0.3944950406	0.7333873895	1.4261220297	2.3668705859	0.9099579134	0.3678409384	0.8629290706	0.5729076159
44	0.9803492817	0.0732274529	0.850428647	0.9003127896	0.382706153	0.8815598934	0.3944950406	0.7333873895	1.4261220297	2.3668705859	0.9099579134	0.3678409384	0.8629290706	0.5729076159
45	0.9803492817	0.0732274529	0.850428647	0.9003127896	0.382706153	0.8815598934	0.3944950406	0.7333873895	1.4261220297	2.3668705859	0.9099579134	0.3678409384	0.8629290706	0.5729076159

