epochs baseline std_baseline only_head std_only_head self_transfer_full_fine_tuning std_self_transfer_full_fine_tuning
0 0.2633333333333333 0.02111111111111111 0.40555555555555556 0.3188888888888889 0.3655555555555556 0.11888888888888889
1 0.2777777777777778 0.024444444444444435 0.4311111111111111 0.35333333333333333 0.4222222222222222 0.09111111111111109
2 0.28888888888888886 0.01999999999999999 0.4677777777777778 0.3855555555555556 0.51 0.05000000000000002
3 0.3244444444444444 0.011111111111111101 0.5611111111111111 0.3655555555555555 0.6022222222222222 0.00888888888888889
4 0.31666666666666665 0.010000000000000009 0.6822222222222223 0.2822222222222222 0.6555555555555556 0.01777777777777778
5 0.33555555555555555 0.011111111111111127 0.7866666666666666 0.1866666666666667 0.7033333333333334 0.04999999999999999
6 0.3477777777777778 0.025555555555555554 0.89 0.09444444444444444 0.7233333333333334 0.08333333333333331
7 0.3522222222222222 0.016666666666666663 0.9755555555555555 0.002222222222222181 0.7566666666666667 0.09444444444444444
8 0.3811111111111111 0.016666666666666663 0.9744444444444444 0.005555555555555536 0.7822222222222222 0.0977777777777778
9 0.38888888888888884 0.013333333333333336 0.9744444444444444 0.0033333333333332993 0.8155555555555556 0.0977777777777778
10 0.40444444444444444 0.0 0.9755555555555555 0.0 0.8422222222222222 0.08666666666666667
11 0.41444444444444445 0.0011111111111111183 0.9755555555555555 0.0 0.8644444444444445 0.0822222222222222
12 0.43333333333333335 0.006666666666666654 0.9766666666666666 0.0011111111111111183 0.8822222222222222 0.07333333333333336
13 0.45777777777777773 0.013333333333333336 0.9755555555555555 0.006666666666666654 0.8888888888888888 0.06
14 0.48444444444444446 0.00888888888888889 0.97 0.003333333333333355 0.8977777777777778 0.053333333333333344
15 0.5044444444444445 0.0044444444444444176 0.9666666666666667 0.004444444444444473 0.9066666666666667 0.04222222222222222
16 0.5511111111111111 0.015555555555555545 0.9655555555555555 0.003333333333333355 0.9088888888888889 0.03999999999999998
17 0.5977777777777777 0.0044444444444444176 0.9644444444444444 0.0022222222222222365 0.9211111111111111 0.0411111111111111
18 0.6411111111111112 0.014444444444444426 0.9677777777777778 0.005555555555555591 0.9277777777777778 0.03888888888888892
19 0.6877777777777778 0.005555555555555591 0.9766666666666667 0.0033333333333332993 0.9288888888888889 0.03111111111111109
20 0.7088888888888889 0.024444444444444435 0.9755555555555555 0.0 0.9366666666666666 0.02777777777777779
21 0.7166666666666667 0.02777777777777779 0.9766666666666667 0.0033333333333332993 0.9466666666666667 0.022222222222222254
22 0.7266666666666666 0.024444444444444435 0.9733333333333334 0.002222222222222181 0.9533333333333334 0.015555555555555545
23 0.7266666666666666 0.006666666666666654 0.9777777777777777 0.0 0.9622222222222223 0.011111111111111127
24 0.7344444444444445 0.025555555555555554 0.9755555555555555 0.002222222222222181 0.961111111111111 0.014444444444444426
25 0.76 0.013333333333333308 0.9733333333333334 0.0 0.9555555555555555 0.011111111111111127
26 0.7944444444444445 0.021111111111111136 0.9766666666666667 0.005555555555555536 0.9566666666666667 0.014444444444444482
27 0.81 0.016666666666666663 0.9744444444444444 0.007777777777777772 0.9466666666666667 0.011111111111111072
28 0.8266666666666667 0.013333333333333308 0.9733333333333334 0.0044444444444444176 0.9455555555555556 0.007777777777777772
29 0.8466666666666667 0.040000000000000036 0.9755555555555555 0.0 0.95 0.003333333333333355
30 0.8544444444444445 0.036666666666666625 0.971111111111111 0.0044444444444444176 0.95 0.003333333333333355
31 0.8644444444444445 0.0377777777777778 0.9711111111111111 0.0022222222222222365 0.9511111111111111 0.013333333333333308
32 0.8844444444444444 0.04444444444444445 0.9688888888888889 0.0022222222222222365 0.9522222222222223 0.014444444444444426
33 0.8911111111111112 0.02888888888888891 0.9688888888888889 0.0022222222222222365 0.9555555555555555 0.013333333333333364
34 0.9033333333333333 0.016666666666666663 0.9755555555555555 0.002222222222222181 0.9488888888888889 0.020000000000000018
35 0.9222222222222223 0.013333333333333364 0.9755555555555555 0.006666666666666654 0.95 0.0188888888888889
36 0.9211111111111112 0.016666666666666663 0.9788888888888889 0.010000000000000009 0.9488888888888889 0.01777777777777778
37 0.9255555555555555 0.016666666666666663 0.9788888888888889 0.007777777777777772 0.9455555555555555 0.021111111111111136
38 0.9322222222222223 0.0188888888888889 0.9788888888888889 0.005555555555555536 0.94 0.017777777777777726
39 0.9299999999999999 0.021111111111111136 0.9711111111111111 0.0022222222222222365 0.9477777777777778 0.014444444444444426
40 0.9322222222222223 0.016666666666666663 0.9744444444444444 0.0033333333333332993 0.9488888888888889 0.02444444444444449
41 0.9433333333333334 0.012222222222222245 0.9711111111111111 0.0022222222222222365 0.9488888888888889 0.02444444444444449
42 0.951111111111111 0.006666666666666654 0.9711111111111111 0.0 0.9477777777777778 0.02999999999999997
43 0.9555555555555555 0.013333333333333364 0.9722222222222222 0.0033333333333332993 0.9477777777777778 0.03888888888888892
44 0.9633333333333334 0.014444444444444426 0.971111111111111 0.0044444444444444176 0.9444444444444444 0.0377777777777778
45 0.9622222222222222 0.015555555555555545 0.9722222222222223 0.0011111111111111183 0.9444444444444444 0.0377777777777778
46 0.9644444444444444 0.011111111111111072 0.9711111111111111 0.0022222222222222365 0.9444444444444444 0.0377777777777778
47 0.97 0.010000000000000009 0.9755555555555555 0.002222222222222181 0.9433333333333334 0.03888888888888886
48 0.9722222222222222 0.0033333333333332993 0.9744444444444444 0.0033333333333332993 0.9355555555555556 0.04888888888888887
49 0.9788888888888889 0.003333333333333355 0.9766666666666667 0.010000000000000009 0.9244444444444444 0.053333333333333344
50 0.9777777777777777 0.0 0.9766666666666667 0.010000000000000009 0.9133333333333333 0.06444444444444442
51 0.9788888888888889 0.0011111111111111183 0.9722222222222222 0.012222222222222245 0.9155555555555556 0.06222222222222218
52 0.9833333333333334 0.0011111111111111183 0.9766666666666667 0.012222222222222245 0.9155555555555556 0.05555555555555558
53 0.981111111111111 0.0011111111111111183 0.9755555555555555 0.00888888888888889 0.9199999999999999 0.05777777777777776
54 0.9777777777777779 0.0044444444444444176 0.9677777777777777 0.007777777777777772 0.9255555555555556 0.043333333333333335
55 0.9766666666666667 0.007777777777777772 0.9688888888888889 0.00888888888888889 0.9311111111111111 0.04222222222222227
