epochs target_catch std_target_catch Catch_v2 Catch_v2_std Catch_v3 Catch_v3_std Catch_v4 Catch_v4_std
64 0.95889 0.007777777777777772 0.77778 0.18 0.59889 0.21 0.88778 0.09
65 0.95222 0.010000000000000009 0.79889 0.17 0.59667 0.19 0.88222 0.1
66 0.95111 0.011111111111111127 0.78889 0.17 0.58667 0.21 0.88111 0.1
67 0.95333 0.0044444444444444176 0.79333 0.17 0.59222 0.19 0.89333 0.09
68 0.95667 0.0011111111111110628 0.8 0.16 0.58778 0.18 0.89222 0.08
69 0.96111 0.003333333333333355 0.78333 0.18 0.59889 0.2 0.87556 0.1
70 0.96556 0.0011111111111111183 0.79222 0.17 0.59333 0.2 0.87222 0.1
71 0.96778 0.0011111111111111183 0.77889 0.2 0.60111 0.18 0.87 0.1
72 0.97444 0.0011111111111110628 0.77222 0.2 0.60444 0.18 0.87 0.11
73 0.98111 0.007777777777777772 0.78889 0.19 0.59111 0.19 0.86667 0.11
74 0.97333 0.0044444444444444176 0.78444 0.19 0.58667 0.18 0.87 0.11
75 0.96889 0.0 0.79778 0.17 0.59556 0.17 0.86444 0.1
76 0.96889 0.006666666666666654 0.81444 0.15 0.58556 0.18 0.85667 0.11
77 0.96333 0.007777777777777772 0.80222 0.16 0.58222 0.17 0.86444 0.11
78 0.96444 0.011111111111111072 0.80444 0.16 0.58444 0.16 0.86333 0.1
79 0.97556 0.00888888888888889 0.79222 0.17 0.58889 0.19 0.86778 0.1
80 0.96889 0.006666666666666654 0.79 0.18 0.60556 0.19 0.87111 0.1
81 0.97222 0.0011111111111111183 0.78444 0.18 0.61444 0.19 0.86333 0.1
82 0.97222 0.0011111111111111183 0.78333 0.19 0.6 0.19 0.85667 0.11
83 0.96778 0.007777777777777772 0.78444 0.18 0.6 0.18 0.86222 0.1
84 0.97556 0.0044444444444444176 0.78889 0.17 0.60889 0.17 0.85667 0.1
85 0.98 0.006666666666666654 0.78 0.18 0.58333 0.16 0.87222 0.09
86 0.97889 0.007777777777777772 0.77111 0.18 0.58 0.17 0.87667 0.08
87 0.98667 0.006666666666666654 0.76444 0.18 0.60222 0.18 0.88 0.08
88 0.98222 0.004444444444444473 0.77333 0.17 0.59667 0.15 0.89111 0.07
89 0.97111 0.0022222222222222365 0.78111 0.16 0.59778 0.15 0.89 0.06
90 0.96667 0.0022222222222222365 0.78222 0.16 0.59667 0.16 0.88556 0.07
91 0.96556 0.005555555555555591 0.79444 0.14 0.60111 0.16 0.88889 0.07
92 0.96333 0.005555555555555591 0.79778 0.14 0.59778 0.16 0.88889 0.06
93 0.96 0.011111111111111127 0.82444 0.13 0.58 0.17 0.88444 0.07
94 0.96778 0.010000000000000009 0.81889 0.13 0.58556 0.18 0.89444 0.07
95 0.97111 0.006666666666666654 0.83111 0.13 0.58889 0.18 0.89111 0.07
96 0.97333 0.0044444444444444176 0.82111 0.14 0.60778 0.16 0.88889 0.08
97 0.97333 0.0044444444444444176 0.80778 0.15 0.61444 0.18 0.88556 0.08
98 0.97556 0.006666666666666654 0.79333 0.15 0.61 0.17 0.89 0.08
99 0.97222 0.0033333333333332993 0.80556 0.15 0.60778 0.16 0.89 0.09
100 0.97667 0.0033333333333332993 0.80444 0.16 0.57556 0.18 0.88889 0.08
101 0.97444 0.005555555555555536 0.80889 0.16 0.57222 0.17 0.89333 0.08
102 0.97333 0.006666666666666654 0.79111 0.16 0.56778 0.16 0.89 0.07
103 0.97556 0.0044444444444444176 0.80778 0.15 0.57556 0.16 0.89667 0.06
104 0.97444 0.0033333333333332993 0.80333 0.14 0.58667 0.15 0.90556 0.05
105 0.97667 0.005555555555555536 0.79667 0.14 0.6 0.15 0.91111 0.04
106 0.97778 0.0044444444444444176 0.80778 0.14 0.59667 0.17 0.90556 0.05
107 0.97667 0.005555555555555536 0.80556 0.15 0.58111 0.16 0.90667 0.05
108 0.97778 0.00888888888888889 0.80778 0.15 0.56111 0.17 0.91444 0.05
109 0.97667 0.0011111111111111183 0.81667 0.15 0.54667 0.17 0.91222 0.05
110 0.97778 0.0044444444444444176 0.80778 0.15 0.53889 0.18 0.91222 0.06
111 0.97778 0.0022222222222222365 0.82 0.14 0.54667 0.18 0.91889 0.05
112 0.97444 0.0011111111111110628 0.82 0.14 0.58111 0.19 0.92111 0.05
113 0.97667 0.0011111111111111183 0.81667 0.13 0.57667 0.17 0.91778 0.05
114 0.96778 0.0011111111111111183 0.82556 0.13 0.56444 0.17 0.91778 0.05
115 0.96667 0.004444444444444473 0.82667 0.12 0.55333 0.18 0.90889 0.06
116 0.96556 0.005555555555555591 0.83111 0.12 0.53333 0.16 0.89778 0.07
117 0.96444 0.004444444444444473 0.83 0.12 0.53889 0.15 0.90444 0.06
118 0.97222 0.0011111111111111183 0.82556 0.13 0.53667 0.16 0.90556 0.06
119 0.97333 0.0044444444444444176 0.81111 0.13 0.54444 0.15 0.91 0.05
120 0.97556 0.00888888888888889 0.79556 0.14 0.54222 0.14 0.91889 0.04
121 0.97222 0.012222222222222245 0.78667 0.15 0.55 0.15 0.92556 0.03
122 0.97 0.007777777777777772 0.79222 0.14 0.55222 0.16 0.92222 0.04
123 0.96667 0.0 0.78222 0.14 0.55667 0.15 0.92111 0.03
124 0.96778 0.005555555555555591 0.78444 0.13 0.58 0.14 0.91667 0.03
125 0.97 0.012222222222222245 0.79667 0.13 0.58 0.15 0.91333 0.02
126 0.97 0.007777777777777772 0.80556 0.12 0.57222 0.17 0.90444 0.03
127 0.97 0.005555555555555536 0.81556 0.13 0.57 0.19 0.89889 0.03
128 0.97333 0.0044444444444444176 0.82222 0.12 0.56667 0.2 0.90111 0.04
129 0.97333 0.002222222222222181 0.82333 0.12 0.58333 0.19 0.90333 0.05
130 0.97333 0.0044444444444444176 0.80889 0.13 0.58333 0.19 0.90889 0.06
131 0.97444 0.005555555555555536 0.79889 0.14 0.58 0.17 0.91 0.06
132 0.97333 0.00888888888888889 0.79222 0.14 0.58667 0.17 0.91778 0.05
133 0.97333 0.00888888888888889 0.78556 0.14 0.55889 0.17 0.92333 0.04
134 0.97 0.005555555555555536 0.79222 0.13 0.54889 0.16 0.91778 0.04
135 0.96778 0.0011111111111111183 0.81667 0.11 0.54111 0.16 0.91667 0.05
136 0.96556 0.0011111111111111183 0.81556 0.1 0.54889 0.14 0.91556 0.04
137 0.97222 0.005555555555555536 0.82111 0.09 0.54111 0.15 0.90889 0.04
138 0.97333 0.006666666666666654 0.82 0.1 0.55111 0.16 0.91333 0.03
139 0.97444 0.0033333333333332993 0.81444 0.11 0.56222 0.17 0.92444 0.02
140 0.98111 0.0011111111111111183 0.81778 0.11 0.55889 0.15 0.92222 0.02
141 0.97889 0.0011111111111111183 0.81778 0.12 0.57111 0.15 0.92667 0.02
142 0.97556 0.006666666666666654 0.81222 0.13 0.57778 0.16 0.92111 0.03
143 0.98 0.006666666666666654 0.80889 0.13 0.58556 0.17 0.91778 0.03
144 0.98 0.004444444444444473 0.80889 0.13 0.57333 0.17 0.91556 0.02
145 0.98222 0.0022222222222222365 0.81333 0.13 0.57333 0.19 0.91111 0.03
146 0.98222 0.0022222222222222365 0.81667 0.11 0.56889 0.18 0.90889 0.04
147 0.98889 0.0 0.81222 0.1 0.55667 0.16 0.91778 0.04
148 0.98222 0.0 0.81222 0.09 0.53778 0.15 0.91667 0.05
149 0.97556 0.0044444444444444176 0.79556 0.1 0.54 0.15 0.91667 0.05
150 0.97111 0.0044444444444444176 0.78889 0.1 0.52889 0.15 0.92333 0.04
151 0.96333 0.005555555555555591 0.79444 0.1 0.54889 0.16 0.92 0.04
152 0.96111 0.003333333333333355 0.81778 0.1 0.55333 0.15 0.92111 0.04
153 0.96667 0.004444444444444473 0.80889 0.12 0.55 0.15 0.92667 0.03
154 0.96556 0.0011111111111111183 0.81778 0.12 0.57111 0.14 0.93 0.03
155 0.97222 0.0011111111111111183 0.82222 0.12 0.54667 0.13 0.93444 0.02
156 0.97444 0.0011111111111110628 0.81778 0.13 0.53111 0.13 0.92556 0.03
157 0.97 0.003333333333333355 0.81667 0.13 0.54 0.13 0.93556 0.03
158 0.97667 0.0011111111111111183 0.81333 0.13 0.54778 0.12 0.92667 0.03
159 0.97778 0.0044444444444444176 0.82111 0.12 0.56222 0.12 0.92889 0.03
160 0.98333 0.003333333333333355 0.81556 0.12 0.57556 0.13 0.92667 0.04
161 0.97667 0.0011111111111111183 0.82222 0.12 0.57556 0.12 0.92889 0.03
162 0.97889 0.003333333333333355 0.82222 0.12 0.58889 0.14 0.93 0.03
163 0.97889 0.007777777777777772 0.82222 0.11 0.56444 0.12 0.93778 0.03
164 0.97889 0.007777777777777772 0.82444 0.12 0.55 0.13 0.94778 0.02
165 0.98222 0.011111111111111072 0.81778 0.12 0.54667 0.13 0.94111 0.01
166 0.98222 0.00666666666666671 0.81889 0.11 0.54778 0.13 0.93667 0.02
167 0.97667 0.0011111111111111183 0.82222 0.12 0.56556 0.13 0.93111 0.01
168 0.97 0.003333333333333355 0.83667 0.12 0.58333 0.15 0.92667 0.01
169 0.96556 0.0011111111111111183 0.83778 0.12 0.58111 0.15 0.93444 0.02
170 0.96556 0.0011111111111111183 0.83778 0.13 0.59333 0.14 0.93222 0.02
171 0.97 0.003333333333333355 0.83556 0.13 0.59222 0.15 0.93889 0.01
172 0.97667 0.005555555555555536 0.81444 0.14 0.59667 0.13 0.94889 0.02
173 0.97889 0.003333333333333355 0.79667 0.16 0.58667 0.13 0.94778 0.01
174 0.97556 0.002222222222222181 0.8 0.14 0.57778 0.11 0.94667 0.01
175 0.97778 0.0022222222222222365 0.81111 0.14 0.58444 0.12 0.94333 0.01
176 0.97556 0.0 0.80333 0.13 0.58444 0.12 0.93556 0.02
177 0.97333 0.0 0.8 0.12 0.58667 0.11 0.92667 0.01
178 0.97111 0.0022222222222222365 0.80444 0.12 0.58222 0.12 0.92667 0.02
179 0.97333 0.00888888888888889 0.80889 0.11 0.57333 0.13 0.91556 0.02
180 0.97111 0.00888888888888889 0.83111 0.09 0.58333 0.15 0.91778 0.03
181 0.97222 0.005555555555555536 0.83778 0.1 0.56556 0.14 0.92 0.02
182 0.97556 0.0044444444444444176 0.84 0.11 0.56667 0.12 0.91556 0.02
183 0.97444 0.0011111111111110628 0.85111 0.11 0.55556 0.12 0.90889 0.03
184 0.96667 0.00888888888888889 0.84444 0.12 0.54889 0.11 0.91889 0.02
185 0.97444 0.007777777777777772 0.85222 0.11 0.54667 0.12 0.93111 0.02
186 0.96889 0.0022222222222222365 0.84667 0.12 0.53556 0.13 0.93333 0.02
187 0.97111 0.0022222222222222365 0.83556 0.12 0.54333 0.14 0.94111 0.02
188 0.97222 0.010000000000000009 0.83 0.12 0.54778 0.14 0.94778 0.02
189 0.97 0.014444444444444426 0.83111 0.1 0.54222 0.13 0.93889 0.02
190 0.96556 0.014444444444444426 0.84667 0.1 0.55556 0.14 0.93556 0.02
191 0.96333 0.01222222222222219 0.84667 0.1 0.55222 0.12 0.94 0.02
192 0.96222 0.011111111111111127 0.83889 0.11 0.53889 0.11 0.93222 0.02
193 0.96778 0.0011111111111111183 0.83111 0.12 0.55 0.11 0.93667 0.02
194 0.96778 0.0011111111111111183 0.80222 0.14 0.56222 0.11 0.93444 0.01
