epochs baseline std_baseline only_head std_only_head self_transfer_full_fine_tuning std_self_transfer_full_fine_tuning hybrid_self_transfer std_hybrid_self_transfer
0 0.25555555555555554 0.017777777777777767 0.5688888888888889 0.28444444444444444 0.2922222222222222 0.07666666666666666 0.37222222222222223 0.08777777777777779
1 0.2633333333333333 0.014444444444444454 0.6255555555555555 0.26555555555555554 0.33444444444444443 0.11888888888888888 0.43666666666666665 0.13888888888888892
2 0.2777777777777778 0.0022222222222222365 0.6977777777777778 0.2311111111111111 0.3888888888888889 0.1488888888888889 0.49777777777777776 0.18222222222222226
3 0.2977777777777778 0.004444444444444445 0.76 0.2088888888888889 0.4255555555555555 0.1522222222222222 0.5166666666666667 0.21222222222222223
4 0.31333333333333335 0.0022222222222222088 0.8222222222222222 0.14666666666666667 0.46555555555555556 0.15444444444444444 0.5322222222222223 0.23
5 0.31333333333333335 0.0 0.8733333333333333 0.10222222222222221 0.4911111111111111 0.14444444444444443 0.5466666666666666 0.21333333333333335
6 0.3277777777777778 0.003333333333333355 0.9122222222222223 0.056666666666666705 0.49444444444444446 0.1166666666666667 0.5588888888888889 0.2077777777777778
7 0.3322222222222222 0.027777777777777762 0.9555555555555555 0.013333333333333364 0.5033333333333333 0.0811111111111111 0.5888888888888889 0.20666666666666667
8 0.33666666666666667 0.023333333333333317 0.9744444444444444 0.0033333333333332993 0.49888888888888894 0.041111111111111126 0.6000000000000001 0.18444444444444447
9 0.35333333333333333 0.0022222222222222365 0.9744444444444444 0.0033333333333332993 0.4955555555555555 0.042222222222222244 0.6233333333333333 0.19444444444444448
10 0.38 0.024444444444444435 0.9788888888888889 0.003333333333333355 0.518888888888889 0.01222222222222219 0.6433333333333333 0.19444444444444442
11 0.41888888888888887 0.04777777777777778 0.9766666666666666 0.0011111111111111183 0.5511111111111111 0.013333333333333308 0.6633333333333333 0.19000000000000003
12 0.45111111111111113 0.04222222222222222 0.98 0.0 0.5711111111111111 0.022222222222222254 0.6788888888888889 0.19000000000000003
13 0.49 0.032222222222222235 0.981111111111111 0.0011111111111111183 0.6033333333333333 0.058888888888888935 0.6833333333333333 0.1677777777777778
14 0.51 0.025555555555555554 0.98 0.0 0.6155555555555556 0.1111111111111111 0.6811111111111111 0.1611111111111111
15 0.5311111111111111 0.0 0.9866666666666667 0.0022222222222222365 0.6122222222222222 0.1366666666666667 0.6966666666666667 0.14777777777777779
16 0.5366666666666666 0.0011111111111111183 0.9822222222222222 0.004444444444444473 0.6333333333333333 0.14666666666666667 0.7 0.14666666666666667
17 0.5711111111111111 0.011111111111111072 0.9744444444444444 0.0033333333333332993 0.6377777777777778 0.16222222222222224 0.7022222222222223 0.1422222222222222
18 0.6144444444444445 0.007777777777777772 0.9677777777777778 0.0011111111111111183 0.6566666666666667 0.17444444444444446 0.6988888888888889 0.12777777777777777
19 0.6366666666666667 0.014444444444444426 0.9688888888888889 0.0 0.6588888888888889 0.18333333333333332 0.7088888888888889 0.12444444444444447
20 0.6833333333333333 0.012222222222222245 0.9666666666666667 0.0 0.6699999999999999 0.2033333333333333 0.7166666666666667 0.13666666666666671
21 0.7144444444444444 0.025555555555555554 0.97 0.0011111111111111183 0.6855555555555556 0.2188888888888889 0.7088888888888889 0.12222222222222223
22 0.7233333333333334 0.034444444444444444 0.9744444444444444 0.005555555555555536 0.7033333333333334 0.20555555555555555 0.72 0.11333333333333334
23 0.7488888888888889 0.019999999999999962 0.9755555555555555 0.006666666666666654 0.72 0.2177777777777778 0.7011111111111111 0.09888888888888892
24 0.7633333333333334 0.03666666666666668 0.971111111111111 0.011111111111111127 0.7333333333333334 0.2177777777777778 0.7044444444444444 0.06
25 0.7711111111111111 0.022222222222222202 0.971111111111111 0.00888888888888889 0.7455555555555555 0.20777777777777778 0.7055555555555555 0.045555555555555516
26 0.8 0.015555555555555545 0.9755555555555555 0.006666666666666654 0.7333333333333334 0.22000000000000003 0.6944444444444444 0.0411111111111111
27 0.8144444444444444 0.007777777777777772 0.9722222222222222 0.0033333333333332993 0.7333333333333334 0.22000000000000003 0.6844444444444444 0.026666666666666672
28 0.8300000000000001 0.005555555555555591 0.98 0.004444444444444473 0.7466666666666667 0.20666666666666667 0.6877777777777778 0.021111111111111136
29 0.8233333333333334 0.025555555555555554 0.9766666666666667 0.005555555555555536 0.7455555555555555 0.20777777777777778 0.6677777777777778 0.016666666666666663
30 0.8288888888888889 0.02444444444444449 0.9744444444444444 0.0033333333333332993 0.741111111111111 0.21000000000000005 0.6433333333333333 0.007777777777777772
31 0.8311111111111111 0.03111111111111109 0.9744444444444444 0.0033333333333332993 0.7333333333333334 0.21111111111111108 0.6144444444444445 0.03888888888888886
32 0.8422222222222222 0.028888888888888853 0.9677777777777778 0.003333333333333355 0.72 0.22444444444444442 0.6022222222222222 0.0377777777777778
33 0.8644444444444443 0.006666666666666654 0.9622222222222222 0.0 0.7122222222222222 0.24111111111111114 0.6055555555555556 0.04999999999999999
34 0.8722222222222222 0.005555555555555536 0.9644444444444444 0.0 0.7233333333333334 0.23888888888888887 0.6044444444444445 0.05777777777777782
35 0.8766666666666667 0.01222222222222219 0.9666666666666667 0.00666666666666671 0.7288888888888889 0.24000000000000002 0.6122222222222222 0.050000000000000044
36 0.8955555555555555 0.0022222222222222365 0.9733333333333334 0.002222222222222181 0.7322222222222222 0.24333333333333332 0.6288888888888888 0.037777777777777743
37 0.8944444444444444 0.0011111111111111183 0.9688888888888889 0.0 0.7455555555555555 0.22999999999999998 0.63 0.043333333333333335
38 0.8988888888888888 0.0011111111111111183 0.97 0.005555555555555536 0.7477777777777778 0.2122222222222222 0.6377777777777778 0.046666666666666634
39 0.9188888888888889 0.010000000000000009 0.9666666666666666 0.00888888888888889 0.7422222222222222 0.21999999999999997 0.6344444444444444 0.03666666666666668
40 0.9355555555555555 0.006666666666666654 0.9633333333333334 0.0011111111111111183 0.7511111111111111 0.20444444444444448 0.6133333333333333 0.04444444444444445
41 0.94 0.002222222222222181 0.9644444444444444 0.0022222222222222365 0.7622222222222222 0.19111111111111112 0.6033333333333333 0.03666666666666668
42 0.9533333333333334 0.0044444444444444176 0.97 0.005555555555555536 0.76 0.20444444444444443 0.5877777777777777 0.021111111111111136
43 0.95 0.007777777777777772 0.9666666666666667 0.00666666666666671 0.7666666666666666 0.20222222222222225 0.5888888888888889 0.015555555555555545
44 0.9488888888888889 0.0 0.9677777777777778 0.005555555555555591 0.7711111111111111 0.20444444444444443 0.5900000000000001 0.0188888888888889
45 0.9488888888888889 0.0 0.9755555555555555 0.002222222222222181 0.7622222222222221 0.21555555555555556 0.5911111111111111 0.024444444444444435
46 0.9377777777777778 0.011111111111111127 0.9777777777777777 0.0022222222222222365 0.7655555555555555 0.20999999999999996 0.5944444444444446 0.034444444444444444
47 0.9411111111111111 0.014444444444444482 0.9788888888888889 0.0011111111111111183 0.7566666666666666 0.21888888888888886 0.5944444444444444 0.05222222222222217
48 0.94 0.011111111111111127 0.9722222222222222 0.0033333333333332993 0.7377777777777779 0.23333333333333334 0.5933333333333333 0.055555555555555525
49 0.9433333333333334 0.010000000000000009 0.9766666666666667 0.007777777777777772 0.7288888888888889 0.2333333333333333 0.61 0.05888888888888888
50 0.9344444444444444 0.014444444444444426 0.9711111111111111 0.0 0.7188888888888889 0.24555555555555555 0.6077777777777778 0.04777777777777775
51 0.9444444444444444 0.0022222222222222365 0.9677777777777778 0.0011111111111111183 0.7255555555555555 0.24555555555555558 0.6122222222222222 0.043333333333333335
52 0.9444444444444444 0.0022222222222222365 0.971111111111111 0.006666666666666654 0.7188888888888889 0.25 0.6333333333333333 0.020000000000000018
53 0.9477777777777778 0.0011111111111111183 0.97 0.005555555555555536 0.7377777777777778 0.23777777777777775 0.6622222222222223 0.011111111111111127
54 0.9544444444444444 0.010000000000000009 0.9711111111111111 0.0022222222222222365 0.7488888888888889 0.22444444444444445 0.6688888888888889 0.0022222222222222365
55 0.9588888888888889 0.007777777777777772 0.9711111111111111 0.0022222222222222365 0.7444444444444445 0.21999999999999997 0.6966666666666668 0.016666666666666663
56 0.96 0.0044444444444444176 0.9722222222222222 0.0033333333333332993 0.75 0.2122222222222222 0.7055555555555555 0.0188888888888889
57 0.9677777777777778 0.003333333333333355 0.9711111111111111 0.0022222222222222365 0.7544444444444445 0.21444444444444444 0.7022222222222222 0.01777777777777778
58 0.9733333333333334 0.002222222222222181 0.9711111111111111 0.0022222222222222365 0.76 0.21555555555555556 0.7133333333333334 0.01777777777777778
59 0.9644444444444444 0.0022222222222222365 0.9744444444444444 0.0033333333333332993 0.7577777777777778 0.21777777777777774 0.7277777777777779 0.003333333333333355
60 0.9588888888888889 0.005555555555555536 0.9666666666666667 0.0 0.7544444444444445 0.21666666666666667 0.731111111111111 0.024444444444444435
61 0.9566666666666667 0.007777777777777772 0.9655555555555555 0.005555555555555591 0.741111111111111 0.22333333333333333 0.7244444444444444 0.020000000000000018
62 0.9566666666666667 0.007777777777777772 0.9655555555555555 0.003333333333333355 0.7388888888888889 0.21666666666666667 0.7344444444444445 0.034444444444444444
63 0.9566666666666667 0.007777777777777772 0.9655555555555555 0.0011111111111111183 0.7333333333333333 0.22444444444444445 0.7244444444444444 0.053333333333333344
64 0.9555555555555555 0.00888888888888889 0.9677777777777778 0.003333333333333355 0.7266666666666667 0.22666666666666668 0.7333333333333334 0.055555555555555525
65 0.9577777777777778 0.002222222222222181 0.9722222222222223 0.0011111111111111183 0.7222222222222222 0.24222222222222223 0.7433333333333333 0.05888888888888888
66 0.9588888888888889 0.005555555555555536 0.9777777777777777 0.0 0.7244444444444444 0.24 0.758888888888889 0.056666666666666705
67 0.9644444444444444 0.00666666666666671 0.9755555555555555 0.0044444444444444176 0.7311111111111112 0.24222222222222226 0.7777777777777778 0.05777777777777782
68 0.9644444444444444 0.011111111111111072 0.9722222222222223 0.0011111111111111183 0.72 0.24666666666666667 0.8044444444444445 0.03999999999999998
69 0.9644444444444444 0.00888888888888889 0.9766666666666667 0.0033333333333332993 0.7166666666666667 0.24555555555555555 0.8133333333333334 0.046666666666666634
70 0.9622222222222223 0.006666666666666654 0.9777777777777777 0.0 0.7 0.2577777777777777 0.8111111111111111 0.053333333333333344
71 0.9644444444444444 0.004444444444444473 0.9755555555555555 0.006666666666666654 0.7011111111111111 0.25 0.8111111111111111 0.05777777777777782
72 0.9677777777777778 0.0011111111111111183 0.9777777777777779 0.006666666666666654 0.6922222222222223 0.2588888888888889 0.8044444444444445 0.05777777777777776
73 0.9722222222222223 0.0011111111111111183 0.9766666666666667 0.0033333333333332993 0.7022222222222223 0.25333333333333335 0.8033333333333333 0.061111111111111116
74 0.9755555555555555 0.002222222222222181 0.9733333333333334 0.002222222222222181 0.7088888888888889 0.24888888888888885 0.8055555555555556 0.06555555555555553
75 0.9755555555555555 0.002222222222222181 0.9733333333333334 0.006666666666666654 0.7 0.2622222222222222 0.7966666666666666 0.07666666666666666
76 0.9722222222222222 0.005555555555555536 0.9766666666666667 0.007777777777777772 0.7055555555555555 0.2588888888888889 0.8 0.08000000000000002
77 0.9688888888888889 0.00888888888888889 0.9788888888888889 0.010000000000000009 0.7222222222222222 0.24666666666666667 0.8066666666666666 0.0822222222222222
78 0.9655555555555555 0.005555555555555591 0.98 0.004444444444444473 0.731111111111111 0.2444444444444444 0.8244444444444444 0.07111111111111112
79 0.9666666666666666 0.00888888888888889 0.9777777777777777 0.0 0.7288888888888889 0.25111111111111106 0.8433333333333333 0.056666666666666705
80 0.9677777777777777 0.010000000000000009 0.9766666666666667 0.0033333333333332993 0.7344444444444445 0.25 0.8433333333333333 0.06555555555555553
81 0.9666666666666667 0.004444444444444473 0.9766666666666666 0.0011111111111111183 0.7388888888888889 0.24555555555555555 0.8455555555555556 0.06777777777777777
82 0.9666666666666667 0.00666666666666671 0.9744444444444444 0.0033333333333332993 0.7355555555555555 0.23999999999999996 0.8333333333333334 0.07111111111111112
83 0.9677777777777778 0.0011111111111111183 0.9722222222222222 0.0033333333333332993 0.7455555555555555 0.22999999999999998 0.8266666666666667 0.07999999999999996
84 0.9677777777777778 0.0011111111111111183 0.97 0.007777777777777772 0.7555555555555555 0.2177777777777778 0.8222222222222222 0.08222222222222225
85 0.9755555555555555 0.0 0.97 0.007777777777777772 0.7422222222222221 0.23333333333333334 0.8211111111111111 0.08333333333333337
86 0.9744444444444444 0.005555555555555536 0.9688888888888889 0.011111111111111127 0.74 0.22666666666666668 0.8211111111111111 0.08333333333333337
87 0.9755555555555555 0.0 0.971111111111111 0.011111111111111127 0.73 0.23666666666666666 0.8200000000000001 0.07555555555555554
88 0.971111111111111 0.0044444444444444176 0.971111111111111 0.0044444444444444176 0.7333333333333334 0.23333333333333334 0.8333333333333334 0.06888888888888889
89 0.9677777777777778 0.005555555555555591 0.9733333333333334 0.006666666666666654 0.72 0.2422222222222222 0.8422222222222222 0.07555555555555554
90 0.97 0.005555555555555536 0.971111111111111 0.006666666666666654 0.7122222222222222 0.2544444444444445 0.8466666666666667 0.08444444444444443
91 0.9655555555555555 0.0011111111111111183 0.9677777777777778 0.003333333333333355 0.7022222222222223 0.27111111111111114 0.8644444444444443 0.07777777777777778
92 0.9722222222222222 0.005555555555555536 0.9666666666666667 0.0022222222222222365 0.6877777777777778 0.27888888888888885 0.8588888888888888 0.08777777777777779
93 0.9722222222222223 0.0011111111111111183 0.9655555555555555 0.007777777777777828 0.6866666666666666 0.27555555555555555 0.8611111111111112 0.08333333333333331
94 0.97 0.010000000000000009 0.9711111111111111 0.0022222222222222365 0.6855555555555556 0.2833333333333333 0.8744444444444445 0.08111111111111113
95 0.97 0.003333333333333355 0.9744444444444444 0.005555555555555536 0.7011111111111111 0.2588888888888889 0.8611111111111112 0.07
96 0.97 0.003333333333333355 0.98 0.004444444444444473 0.7066666666666667 0.25333333333333335 0.8555555555555556 0.0733333333333333
