epochs target_catch std_target_catch Catch_v0 Catch_v0_std Catch_v3 Catch_v3_std Catch_v4 Catch_v4_std
0 0.23111 0.015555555555555559 0.26444 0.01 0.24778 0.01 0.24556 0.0
1 0.23111 0.011111111111111113 0.26222 0.01 0.24556 0.0 0.24333 0.01
2 0.25222 0.01444444444444444 0.26222 0.0 0.24111 0.01 0.26222 0.01
3 0.25667 0.014444444444444454 0.26667 0.0 0.25333 0.01 0.25333 0.0
4 0.24444 0.006666666666666668 0.27556 0.01 0.24556 0.01 0.25222 0.01
5 0.24889 0.01777777777777778 0.25889 0.0 0.24778 0.01 0.25444 0.02
6 0.23778 0.02444444444444445 0.25111 0.01 0.26222 0.0 0.26556 0.02
7 0.23222 0.030000000000000013 0.25222 0.02 0.26222 0.0 0.27111 0.02
8 0.25889 0.03222222222222222 0.25333 0.03 0.25667 0.0 0.27222 0.02
9 0.27 0.010000000000000009 0.25667 0.04 0.25667 0.01 0.26556 0.0
10 0.27667 0.003333333333333355 0.29889 0.02 0.25222 0.01 0.25444 0.0
11 0.28333 0.010000000000000009 0.3 0.02 0.24222 0.02 0.25333 0.0
12 0.27889 0.007777777777777772 0.30222 0.01 0.23667 0.0 0.25111 0.01
13 0.27222 0.0011111111111110905 0.31 0.01 0.25778 0.01 0.24778 0.0
14 0.27556 0.00888888888888889 0.29889 0.02 0.25222 0.01 0.26778 0.0
15 0.28333 0.016666666666666663 0.29667 0.03 0.23222 0.01 0.26444 0.01
16 0.28556 0.016666666666666663 0.30556 0.03 0.24333 0.01 0.27222 0.01
17 0.29111 0.013333333333333336 0.32111 0.03 0.23 0.0 0.27222 0.01
18 0.27333 0.0 0.31111 0.03 0.23222 0.0 0.28444 0.01
19 0.28778 0.009999999999999981 0.31444 0.02 0.25444 0.02 0.28444 0.0
20 0.28222 0.031111111111111117 0.31 0.02 0.26333 0.04 0.28444 0.0
21 0.28333 0.02111111111111111 0.29889 0.02 0.26111 0.02 0.30889 0.01
22 0.28889 0.017777777777777753 0.31889 0.03 0.26556 0.03 0.30222 0.01
23 0.27444 0.0188888888888889 0.32222 0.02 0.27111 0.02 0.31889 0.02
24 0.28222 0.004444444444444445 0.32667 0.01 0.27111 0.02 0.31556 0.0
25 0.27778 0.006666666666666654 0.33 0.02 0.26778 0.02 0.30778 0.0
26 0.28556 0.003333333333333327 0.34889 0.02 0.27 0.02 0.30778 0.01
27 0.26889 0.0022222222222222365 0.33778 0.02 0.26 0.02 0.29667 0.0
28 0.28889 0.008888888888888863 0.35111 0.02 0.25667 0.03 0.29444 0.0
29 0.28333 0.016666666666666663 0.34889 0.02 0.25889 0.01 0.30556 0.0
30 0.28778 0.007777777777777772 0.32333 0.02 0.24222 0.01 0.30111 0.01
31 0.29222 0.02111111111111111 0.32111 0.01 0.24111 0.01 0.30667 0.01
32 0.28778 0.025555555555555554 0.31778 0.03 0.25333 0.0 0.31889 0.01
33 0.27889 0.014444444444444454 0.31556 0.04 0.26889 0.02 0.31556 0.01
34 0.27333 0.01999999999999999 0.33 0.03 0.28 0.02 0.32333 0.02
35 0.27222 0.003333333333333327 0.33889 0.03 0.27667 0.04 0.33556 0.01
36 0.28 0.011111111111111101 0.33444 0.02 0.27111 0.02 0.32444 0.02
37 0.29 0.0011111111111111183 0.34111 0.0 0.28778 0.0 0.32556 0.01
38 0.30333 0.003333333333333327 0.35 0.0 0.27333 0.01 0.31444 0.01
39 0.31 0.007777777777777772 0.36333 0.0 0.27778 0.01 0.30222 0.01
40 0.31556 0.004444444444444445 0.36778 0.01 0.28333 0.0 0.30444 0.0
41 0.32556 0.0011111111111111183 0.38222 0.02 0.27889 0.02 0.31778 0.0
42 0.32 0.022222222222222227 0.39889 0.02 0.27444 0.02 0.32111 0.0
43 0.32444 0.031111111111111117 0.38889 0.01 0.28 0.03 0.32111 0.0
44 0.31111 0.024444444444444435 0.38889 0.03 0.28667 0.01 0.33556 0.0
45 0.29778 0.033333333333333354 0.38222 0.04 0.28111 0.01 0.33889 0.01
46 0.28889 0.024444444444444467 0.37667 0.03 0.28667 0.01 0.32556 0.01
47 0.30333 0.023333333333333317 0.37889 0.05 0.27889 0.01 0.34333 0.01
48 0.3 0.022222222222222227 0.37778 0.06 0.29222 0.01 0.33556 0.02
49 0.29556 0.01999999999999999 0.38444 0.07 0.28222 0.02 0.32556 0.01
50 0.30222 0.013333333333333336 0.37444 0.07 0.28222 0.01 0.34222 0.01
51 0.30333 0.014444444444444454 0.38 0.1 0.29889 0.01 0.33778 0.0
52 0.31667 0.007777777777777772 0.39222 0.1 0.30444 0.01 0.35111 0.0
53 0.33111 0.0 0.40667 0.09 0.29222 0.01 0.35111 0.0
54 0.33667 0.025555555555555554 0.41444 0.08 0.30889 0.01 0.32778 0.0
55 0.32889 0.022222222222222227 0.41889 0.06 0.31222 0.02 0.33333 0.01
56 0.33111 0.006666666666666682 0.44111 0.06 0.31556 0.02 0.31889 0.0
57 0.32444 0.006666666666666682 0.42222 0.05 0.32222 0.02 0.32778 0.01
58 0.32667 0.015555555555555545 0.42667 0.06 0.31556 0.03 0.34 0.02
59 0.32333 0.023333333333333345 0.42111 0.04 0.33111 0.02 0.34444 0.02
60 0.31444 0.032222222222222235 0.42333 0.03 0.32889 0.02 0.36 0.02
61 0.31111 0.0377777777777778 0.42444 0.02 0.32111 0.02 0.36556 0.03
62 0.31556 0.031111111111111117 0.42889 0.04 0.32111 0.01 0.34778 0.02
63 0.32667 0.04444444444444445 0.43111 0.04 0.31 0.01 0.35556 0.03
64 0.33889 0.045555555555555544 0.45 0.04 0.30444 0.01 0.36 0.03
65 0.33111 0.033333333333333354 0.46333 0.06 0.29889 0.01 0.34556 0.01
66 0.33333 0.01999999999999999 0.46667 0.06 0.31 0.01 0.34222 0.0
67 0.32222 0.015555555555555572 0.45778 0.07 0.30889 0.01 0.34444 0.0
68 0.31556 0.011111111111111101 0.46111 0.09 0.32333 0.01 0.33667 0.02
69 0.32667 0.01777777777777778 0.45111 0.09 0.33556 0.02 0.35333 0.01
70 0.33889 0.04777777777777778 0.43 0.09 0.34222 0.01 0.37222 0.01
71 0.35778 0.053333333333333316 0.45222 0.08 0.32333 0.0 0.38444 0.02
72 0.35667 0.061111111111111116 0.46 0.08 0.30556 0.0 0.38 0.01
73 0.36222 0.05555555555555558 0.46556 0.07 0.32444 0.02 0.37667 0.01
74 0.35444 0.043333333333333335 0.47889 0.09 0.31889 0.04 0.36889 0.0
75 0.34444 0.04444444444444445 0.49333 0.09 0.32333 0.03 0.36667 0.0
76 0.34778 0.034444444444444444 0.50333 0.1 0.34333 0.01 0.37667 0.02
77 0.36778 0.023333333333333345 0.51556 0.1 0.33889 0.01 0.39444 0.02
78 0.37 0.02111111111111111 0.51 0.09 0.33444 0.01 0.40556 0.01
79 0.38444 0.013333333333333336 0.49222 0.1 0.33444 0.03 0.41778 0.01
80 0.40556 0.0188888888888889 0.48444 0.07 0.33111 0.02 0.41778 0.02
81 0.40778 0.012222222222222218 0.47111 0.08 0.32667 0.0 0.40444 0.04
82 0.40222 0.013333333333333336 0.48667 0.08 0.33444 0.0 0.41 0.03
83 0.39889 0.032222222222222235 0.49667 0.08 0.34333 0.01 0.40222 0.01
84 0.38556 0.04777777777777778 0.50667 0.07 0.33222 0.01 0.39111 0.0
85 0.38333 0.0522222222222222 0.53333 0.09 0.33333 0.0 0.37889 0.01
86 0.4 0.0711111111111111 0.54444 0.08 0.32222 0.0 0.38222 0.03
87 0.39333 0.05555555555555555 0.55333 0.11 0.35667 0.0 0.37333 0.01
88 0.39111 0.03555555555555556 0.54889 0.1 0.35444 0.01 0.36889 0.01
89 0.41111 0.02888888888888888 0.54222 0.1 0.35667 0.02 0.38889 0.01
90 0.40556 0.03222222222222221 0.53111 0.1 0.36222 0.02 0.40889 0.01
91 0.41667 0.045555555555555544 0.52667 0.08 0.35444 0.01 0.41222 0.0
92 0.43444 0.05888888888888891 0.52222 0.08 0.35 0.01 0.40444 0.0
93 0.45222 0.07222222222222224 0.51667 0.07 0.36556 0.0 0.39778 0.0
94 0.45111 0.07111111111111112 0.52889 0.06 0.38 0.02 0.39889 0.0
95 0.48 0.06666666666666665 0.51778 0.06 0.39444 0.01 0.39222 0.01
96 0.48889 0.06444444444444444 0.51889 0.06 0.41222 0.01 0.4 0.0
97 0.48444 0.05555555555555558 0.51111 0.07 0.39667 0.0 0.40778 0.0
98 0.48778 0.06555555555555556 0.51222 0.09 0.38111 0.02 0.41333 0.0
99 0.47889 0.05666666666666667 0.51889 0.07 0.38556 0.02 0.4 0.03
100 0.46556 0.05666666666666667 0.53 0.08 0.38 0.03 0.40333 0.03
101 0.47556 0.06888888888888886 0.53333 0.08 0.38667 0.04 0.41222 0.03
102 0.47333 0.0711111111111111 0.54667 0.07 0.39667 0.03 0.42556 0.02
103 0.47889 0.08333333333333331 0.55333 0.09 0.40444 0.05 0.43111 0.01
104 0.47889 0.08555555555555555 0.57667 0.1 0.40222 0.06 0.42889 0.04
105 0.47889 0.07222222222222222 0.57889 0.11 0.40667 0.04 0.43333 0.03
106 0.49889 0.06777777777777777 0.57444 0.11 0.41556 0.05 0.43222 0.02
107 0.49778 0.07555555555555557 0.56778 0.11 0.43 0.05 0.41778 0.02
108 0.50778 0.0677777777777778 0.57 0.11 0.43222 0.05 0.42333 0.0
109 0.51778 0.07333333333333336 0.56333 0.12 0.44222 0.06 0.42222 0.02
110 0.50778 0.09666666666666668 0.56889 0.1 0.44222 0.05 0.42222 0.0
111 0.49556 0.08666666666666664 0.57556 0.09 0.44667 0.05 0.42778 0.01
112 0.49222 0.08111111111111113 0.59 0.09 0.43778 0.05 0.44556 0.02
113 0.49111 0.0733333333333333 0.59333 0.08 0.42 0.04 0.45222 0.02
114 0.52889 0.062222222222222234 0.62556 0.08 0.41889 0.05 0.45111 0.02
115 0.54556 0.08111111111111113 0.60667 0.1 0.42444 0.05 0.45778 0.03
