baseline std_baseline only_head std_only_head self_transfer_full_fine_tuning std_self_transfer_full_fine_tuning
0.16 0.013333333333333336 0.3622222222222222 0.07555555555555554 0.2833333333333333 0.17222222222222222
0.1622222222222222 0.013333333333333336 0.4388888888888889 0.003333333333333355 0.30666666666666664 0.12666666666666668
0.17666666666666667 0.0188888888888889 0.5422222222222223 0.06444444444444444 0.34444444444444444 0.07555555555555554
0.16666666666666669 0.006666666666666668 0.6733333333333333 0.11111111111111116 0.37222222222222223 0.025555555555555554
0.17888888888888888 0.009999999999999995 0.78 0.10222222222222221 0.3988888888888889 0.016666666666666663
0.18 0.0 0.8622222222222222 0.03555555555555556 0.3988888888888889 0.02777777777777779
0.17777777777777776 0.0022222222222222227 0.8944444444444445 0.025555555555555554 0.3888888888888889 0.05777777777777776
0.1988888888888889 0.0011111111111111183 0.9177777777777778 0.004444444444444473 0.3844444444444444 0.09555555555555556
0.20333333333333334 0.016666666666666663 0.9277777777777778 0.003333333333333355 0.3944444444444445 0.13000000000000003
0.19666666666666666 0.016666666666666677 0.9288888888888889 0.004444444444444473 0.3933333333333333 0.15555555555555556
0.19555555555555554 0.03333333333333334 0.9188888888888889 0.005555555555555536 0.40777777777777774 0.17222222222222222
0.2 0.039999999999999994 0.9144444444444444 0.0188888888888889 0.4288888888888889 0.1711111111111111
0.19777777777777777 0.04444444444444445 0.9066666666666667 0.011111111111111127 0.44777777777777783 0.17666666666666667
0.21 0.02111111111111111 0.9011111111111112 0.0011111111111111183 0.4833333333333334 0.16111111111111112
0.22444444444444445 0.0022222222222222227 0.9 0.004444444444444473 0.52 0.15555555555555556
0.2388888888888889 0.014444444444444454 0.8955555555555557 0.00888888888888889 0.54 0.15333333333333335
0.2633333333333333 0.03666666666666667 0.8977777777777778 0.013333333333333308 0.5366666666666666 0.16111111111111115
0.27666666666666667 0.043333333333333335 0.9 0.013333333333333308 0.5377777777777778 0.1577777777777778
0.28222222222222226 0.031111111111111117 0.8988888888888888 0.023333333333333373 0.5355555555555556 0.18444444444444444
0.2811111111111111 0.016666666666666663 0.8877777777777778 0.01666666666666672 0.5355555555555556 0.21111111111111114
0.2777777777777778 0.0022222222222222365 0.8922222222222222 0.010000000000000009 0.5411111111111111 0.2388888888888889
0.27666666666666667 0.0011111111111111183 0.8933333333333333 0.01777777777777778 0.5522222222222222 0.27444444444444444
0.27555555555555555 0.0022222222222222365 0.8866666666666667 0.0044444444444444176 0.5666666666666667 0.2711111111111111
0.30777777777777776 0.0011111111111111183 0.8833333333333333 0.010000000000000009 0.5766666666666667 0.27222222222222225
0.32555555555555554 0.025555555555555554 0.8888888888888888 0.024444444444444435 0.5788888888888889 0.26555555555555554
0.34444444444444444 0.015555555555555545 0.8833333333333333 0.021111111111111136 0.5833333333333334 0.2633333333333333
0.3688888888888889 0.033333333333333326 0.8922222222222222 0.0188888888888889 0.5955555555555556 0.25555555555555554
0.39444444444444443 0.034444444444444444 0.8944444444444444 0.016666666666666663 0.6055555555555556 0.24777777777777782
0.4033333333333333 0.03888888888888889 0.8966666666666667 0.005555555555555591 0.611111111111111 0.26
0.4011111111111111 0.03666666666666665 0.9066666666666667 0.002222222222222181 0.6255555555555555 0.25222222222222224
0.4411111111111111 0.03 0.8866666666666667 0.0 0.6177777777777778 0.25555555555555554
0.4555555555555556 0.031111111111111117 0.8833333333333333 0.0011111111111111183 0.6155555555555555 0.2733333333333333
0.4677777777777778 0.0188888888888889 0.8833333333333333 0.005555555555555536 0.6155555555555555 0.26
0.5022222222222222 0.02888888888888888 0.8822222222222222 0.015555555555555545 0.6222222222222222 0.2644444444444445
0.5066666666666667 0.031111111111111117 0.8877777777777778 0.010000000000000009 0.6355555555555555 0.2511111111111111
0.5 0.033333333333333326 0.8977777777777778 0.01777777777777778 0.6277777777777778 0.25222222222222224
0.4911111111111111 0.026666666666666672 0.8888888888888888 0.011111111111111127 0.6522222222222223 0.25222222222222224
0.5066666666666667 0.02888888888888888 0.89 0.010000000000000009 0.6511111111111111 0.24444444444444444
0.528888888888889 0.04222222222222222 0.8944444444444444 0.01222222222222219 0.6477777777777778 0.25222222222222224
0.5700000000000001 0.04777777777777775 0.89 0.007777777777777772 0.6311111111111111 0.2644444444444444
0.6088888888888888 0.04222222222222222 0.8844444444444444 0.00888888888888889 0.6311111111111111 0.2644444444444444
0.6388888888888888 0.02999999999999997 0.8955555555555555 0.00666666666666671 0.6144444444444445 0.27222222222222225
0.6366666666666667 0.003333333333333355 0.9033333333333333 0.0033333333333332993 0.6044444444444445 0.27555555555555555
0.65 0.010000000000000009 0.9088888888888889 0.0044444444444444176 0.6155555555555556 0.28444444444444444
0.6511111111111112 0.022222222222222202 0.9088888888888889 0.015555555555555545 0.6111111111111112 0.2755555555555556
0.6422222222222222 0.03111111111111109 0.9088888888888889 0.01777777777777778 0.6233333333333333 0.26333333333333336
0.6244444444444444 0.04666666666666669 0.8966666666666667 0.014444444444444426 0.6211111111111112 0.27444444444444444
