epochs baseline std_baseline hybrid_self_transfer std_hybrid_self_transfer self_transfer_full_fine_tuning std_self_transfer_full_fine_tuning
0 0.25555555555555554 0.017777777777777767 0.3811111111111111 0.0788888888888889 0.2922222222222222 0.07666666666666666
1 0.2633333333333333 0.014444444444444454 0.4588888888888889 0.1166666666666667 0.33444444444444443 0.11888888888888888
2 0.2777777777777778 0.0022222222222222365 0.5166666666666667 0.16333333333333336 0.3888888888888889 0.1488888888888889
3 0.2977777777777778 0.004444444444444445 0.56 0.1688888888888889 0.4255555555555555 0.1522222222222222
4 0.31333333333333335 0.0022222222222222088 0.5877777777777777 0.17444444444444446 0.46555555555555556 0.15444444444444444
5 0.31333333333333335 0.0 0.5833333333333334 0.17666666666666667 0.4911111111111111 0.14444444444444443
6 0.3277777777777778 0.003333333333333355 0.6022222222222222 0.16444444444444448 0.49444444444444446 0.1166666666666667
7 0.3322222222222222 0.027777777777777762 0.63 0.16555555555555557 0.5033333333333333 0.0811111111111111
8 0.33666666666666667 0.023333333333333317 0.6522222222222223 0.13222222222222224 0.49888888888888894 0.041111111111111126
9 0.35333333333333333 0.0022222222222222365 0.6955555555555556 0.12222222222222223 0.4955555555555555 0.042222222222222244
10 0.38 0.024444444444444435 0.721111111111111 0.11666666666666664 0.518888888888889 0.01222222222222219
11 0.41888888888888887 0.04777777777777778 0.7644444444444445 0.0888888888888889 0.5511111111111111 0.013333333333333308
12 0.45111111111111113 0.04222222222222222 0.7966666666666666 0.07222222222222224 0.5711111111111111 0.022222222222222254
13 0.49 0.032222222222222235 0.8022222222222222 0.04888888888888893 0.6033333333333333 0.058888888888888935
14 0.51 0.025555555555555554 0.8277777777777777 0.014444444444444426 0.6155555555555556 0.1111111111111111
15 0.5311111111111111 0.0 0.8400000000000001 0.0044444444444444176 0.6122222222222222 0.1366666666666667
16 0.5366666666666666 0.0011111111111111183 0.8455555555555556 0.0011111111111111183 0.6333333333333333 0.14666666666666667
17 0.5711111111111111 0.011111111111111072 0.8433333333333333 0.0011111111111111183 0.6377777777777778 0.16222222222222224
