epochs target_catch std_target_catch Catch_v0 Catch_v0_std Catch_v2 Catch_v2_std Catch_v3 Catch_v3_std
0 0.16 0.013333333333333336 0.15889 0.02 0.15 0.01 0.15778 0.0
1 0.16222 0.013333333333333336 0.17333 0.02 0.14444 0.0 0.15333 0.0
2 0.17667 0.0188888888888889 0.17778 0.01 0.16444 0.01 0.12556 0.0
3 0.16667 0.006666666666666668 0.19111 0.0 0.16889 0.01 0.13333 0.01
4 0.17889 0.009999999999999995 0.19667 0.01 0.18778 0.01 0.14 0.02
5 0.18 0.0 0.19889 0.02 0.18556 0.0 0.15667 0.03
6 0.17778 0.0022222222222222227 0.21111 0.02 0.19 0.01 0.17444 0.02
7 0.19889 0.0011111111111111183 0.22556 0.02 0.20333 0.02 0.18667 0.02
8 0.20333 0.016666666666666663 0.23667 0.02 0.21111 0.03 0.17889 0.01
9 0.19667 0.016666666666666677 0.25111 0.01 0.20889 0.02 0.18111 0.01
10 0.19556 0.03333333333333334 0.28222 0.03 0.21333 0.02 0.18111 0.01
11 0.2 0.039999999999999994 0.28667 0.0 0.22111 0.01 0.18444 0.02
12 0.19778 0.04444444444444445 0.31 0.01 0.25444 0.0 0.19333 0.02
13 0.21 0.02111111111111111 0.32667 0.02 0.29 0.01 0.20222 0.02
14 0.22444 0.0022222222222222227 0.32667 0.03 0.32333 0.01 0.21222 0.0
15 0.23889 0.014444444444444454 0.32778 0.03 0.34556 0.02 0.22222 0.01
16 0.26333 0.03666666666666667 0.31444 0.03 0.35 0.02 0.23 0.01
17 0.27667 0.043333333333333335 0.31556 0.01 0.34444 0.02 0.23556 0.01
18 0.28222 0.031111111111111117 0.31778 0.0 0.34444 0.02 0.23556 0.01
19 0.28111 0.016666666666666663 0.33222 0.01 0.35111 0.0 0.22889 0.02
20 0.27778 0.0022222222222222365 0.34889 0.01 0.35778 0.01 0.23 0.01
21 0.27667 0.0011111111111111183 0.38 0.01 0.37222 0.02 0.23333 0.01
22 0.27556 0.0022222222222222365 0.38556 0.02 0.37556 0.03 0.21778 0.0
23 0.30778 0.0011111111111111183 0.39667 0.02 0.39222 0.05 0.20556 0.0
24 0.32556 0.025555555555555554 0.40778 0.03 0.39444 0.05 0.19889 0.0
25 0.34444 0.015555555555555545 0.42222 0.02 0.40333 0.04 0.20556 0.0
26 0.36889 0.033333333333333326 0.40889 0.02 0.42111 0.02 0.20889 0.02
27 0.39444 0.034444444444444444 0.41889 0.02 0.42333 0.0 0.21778 0.01
28 0.40333 0.03888888888888889 0.42333 0.01 0.40444 0.01 0.22222 0.01
29 0.40111 0.03666666666666665 0.41889 0.03 0.4 0.02 0.22111 0.01
30 0.44111 0.03 0.42667 0.03 0.40111 0.03 0.22667 0.02
31 0.45556 0.031111111111111117 0.42444 0.03 0.42222 0.03 0.25 0.0
